parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,total_trait_mutations_mean,total_trait_mutations_median,total_trait_mutations_stddev,total_trait_mutations_min,total_trait_mutations_max,total_trait_mutations_p10,total_trait_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90
0,0,500,54.2,55,2.284962282309918,50,57,50.9,57,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,48.5356,48.542,2.311524682519037,42.832,53.046,45.7288,50.88420000000001,6.744851631309414,6.830760572288533,0.6499555220594246,4.940129148109391,7.700610625138759,6.103809315390897,7.368220452437904,27.4,25.5,5.500239229246976,22,41,22,34,19.15,19,1.899445902583726,17,23,17,21,0,0,0,0,0,0,0,0.5337109670513214,0.5365718495324767,0.01657933692175933,0.49096311094307,0.564170428868545,0.5125227459550175,0.5489067319136882,1.4214502164502165,1.375,0.44612696108918753,0.75,2.25,0.98,2.17,0.5390639129297171,0.5341247937537585,0.04334861576152517,0.4733840508303441,0.6192160837286184,0.4922886906453909,0.6045416563548812,73.15,75,6.360031446463138,58,82,64,80,38.95,40,6.3118518427012,27,52,31.5,46.1
0.005,0,500,52.65,53,2.3902213066443956,47,56,49.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.8,3,0.4103913408340616,2,3,2,3,47.94330000000001,48.082,2.0884040015486027,43.406,50.496,44.7904,50.318200000000004,6.652996797833424,6.833296146887644,0.6423304675109286,5.258840556624613,7.516361885912615,5.541745966073233,7.184597316847582,27.3,24.5,6.554227241776265,22,45,22,37.1,18.45,19,1.6375527311718612,17,23,17,20.1,0,0,0,0,0,0,0,0.5403590551536916,0.5372442924076428,0.019647664231154296,0.49715981869175524,0.5827722551422311,0.5208137496872804,0.5619493865904861,1.093750763125763,1.0384615384615383,0.20696262055330242,0.7857142857142857,1.4444444444444444,0.8912500000000001,1.402857142857143,0.5575813672968989,0.550761692120532,0.03339087585190936,0.509516568043344,0.6310027375757494,0.516843110503277,0.6027154518043841,77.7,78,7.298882394622229,65,90,68,87.3,45.05,45,7.265455395586925,33,60,35.9,55
0.01,0,500,53.85,54,2.0589982234597786,51,57,51,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.3077935056255462,2,3,2.9,3,48.6463,48.701,2.0815829275362843,44.656,51.684,45.349000000000004,51.2886,6.709890240948043,6.683916548413913,0.4235578061960828,5.865386943757414,7.385503638886092,6.242002941845108,7.223076114985931,25.5,23,4.817730411281797,22,37,22,35,19.05,19,1.8202082009311025,17,23,17,22,0,0,0,0,0,0,0,0.5460495446621507,0.5399267918791149,0.01948176960081325,0.5197274087816384,0.590675153772248,0.5258714317729805,0.5720434033545675,1.1848390498390498,1.1555555555555554,0.3236534145480271,0.6923076923076923,2.1666666666666665,0.7950000000000002,1.4571428571428573,0.5586737152350001,0.5570769221396878,0.04274537053939126,0.44602266388035744,0.6282132271070938,0.5222010433726368,0.6119831541120669,76.05,76.5,4.946822478276227,67,83,68.9,81,42.2,41.5,4.916138835776669,34,51,36.8,48.2
0.015,0,500,52.5,52,2.2826577307580465,49,57,50,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.65,6,0.48936048492959283,5,6,5,6,47.703700000000005,47.751000000000005,2.3844558266979248,43.076,51.578,44.401999999999994,50.5984,6.595559655400376,6.6559608363333815,0.5732190102760653,5.408915233205266,7.799897435223105,6.003485115068976,7.146996838766231,26.85,26,4.416178390752277,22,39,22,32.1,19.55,19.5,1.9594574974238472,17,23,17,22,0,0,0,0,0,0,0,0.5522250173343035,0.5561445893717938,0.022801855694866327,0.5072660288341946,0.5923001553600359,0.520929387641418,0.5708061191194342,1.1613185425685428,1.087121212121212,0.32423024518760124,0.6428571428571429,1.6363636363636365,0.7472222222222221,1.5600000000000003,0.5587886430205949,0.5627331094126264,0.03657467192649511,0.476156764320965,0.6208758908357672,0.5140425151422068,0.6068445331814363,78.25,78.5,7.972815655318026,60,95,69,86.1,45.75,45.5,7.683714836211097,29,61,37.9,54.1
0.02,0,500,52.45,53,1.8771478925557026,49,56,49.9,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.7,6,0.47016234598162726,5,6,5,6,47.5106,47.36,1.8849086087017313,44.442,50.884,45.007999999999996,49.8464,6.370372711217213,6.313791426634802,0.5009493305389232,5.319450723523998,7.5497441016235385,5.93756000712337,6.919393515604837,26.65,25,3.688888008172938,23,34,23,32.1,19.75,20,1.446411166701189,17,22,17.900000000000002,22,0,0,0,0,0,0,0,0.5420329749509889,0.5429167192739841,0.01758265520440208,0.5085583424264107,0.5698854118366902,0.5205956419468418,0.5635271419735133,1.1651681651681651,1.1168831168831168,0.18803497088924132,0.8571428571428571,1.5454545454545454,0.9916666666666667,1.45,0.5368722153711357,0.5281181022817367,0.043577838293098504,0.47708813040956827,0.6370572483933551,0.48750145589080573,0.5972159597445837,79.35,81,5.760802210218917,68,88,69.89999999999999,85,46.9,47,5.379297547567262,35,56,40.6,52.1
0.025,0,500,52.65,52,1.8144159564878986,50,57,51,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.8,10,0.4103913408340616,9,10,9,10,47.47579999999999,48.102000000000004,1.7767642855246133,43.962,50.18,45.197599999999994,49.5364,6.829980528032102,6.7463941144229125,0.45599352107852786,6.2790378243804215,7.719389613175372,6.320872404072533,7.473343449880733,27.45,24.5,5.4721784366105295,22,38,22,35.300000000000004,19.95,20,2.1144863753590246,18,26,18,22,0,0,0,0,0,0,0,0.5557055770899184,0.5580578789010266,0.021214772950585093,0.517813473900955,0.5923066923912018,0.5248226654022353,0.585850828605111,1.0970244338994337,1.0333333333333332,0.26482674619003843,0.8,2,0.856043956043956,1.2531468531468535,0.553891175280439,0.5482355060961197,0.03002820213267782,0.5166798681007018,0.6035403360776159,0.5184114816005826,0.597573877875582,83.8,83.5,5.405650065586834,74,96,76.7,87.7,51.15,51,5.3829653342255215,43,64,45.8,55.60000000000001
0.030000000000000002,0,500,50.55,51,1.959457497423847,47,54,48,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.35,13,0.8750939799154206,10,13,11,13,46.69109999999999,46.400999999999996,1.6445088820550327,43.492,50.66,45.0116,48.1866,6.562908551421375,6.6744164427907045,0.4738677871129899,5.77614542753211,7.587371349815462,5.896397532126592,7.096396032061119,26.3,23,5.058603926402079,22,35,22,34,19.2,19.5,1.399247918291146,17,22,18,20.200000000000003,0,0,0,0,0,0,0,0.5652724611478785,0.5674403656695814,0.02239471699834634,0.5135017716222569,0.6086530085602874,0.54056481641963,0.58871360642098,0.9858386915372209,1,0.16409365674359852,0.6666666666666666,1.4,0.8589285714285715,1.1823863636363636,0.5362657495692894,0.5352287973104919,0.030376476180284214,0.49191745418076405,0.6070770756398263,0.5021430704629981,0.5730772902680513,85.05,86.5,7.408920654397502,70,96,74.80000000000001,93.20000000000002,54.5,56,6.708203932499369,42,65,46.5,62.2
