parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90
0.00001,0,500,52.85,52,1.8144159564878986,50,56,51,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.560737443801199,0.5671724301044945,0.039350912849989234,0.4898435898043568,0.6254635103488783,0.49324673992148677,0.6039168612351486,0.542316360537604,0.5450262824992309,0.018820627573184687,0.5108902420741284,0.5754550045050411,0.5149215634993334,0.5633732717026183,74.8,74,5.708719093125053,63,85,67,82.1,41.95,41.5,5.871205381485045,31,53,35,49.2,47.9832,47.989999999999995,1.963880948262233,44.21,51.198,45.37859999999999,50.362399999999994,6.740998797191932,6.777181282011609,0.37956487034071007,5.754362171431328,7.58442482987339,6.33467470360828,7.095473298431717,23.988826890906505,24.135339448563485,1.2318860572547892,21.94900938710404,26.036381442976296,22.233037486531437,25.521270325436483,17.5,18,2.115108557622118,14,23,15,19.1
0.00002,0,500,54.3,54,1.4179302929937965,51,56,52.900000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5504736385966026,0.5489909071908838,0.030480154610023028,0.5085884344615059,0.6195258823714198,0.5147264264782334,0.583174490017163,0.5418867462253829,0.5415438874154703,0.021341693975486086,0.5046197165283717,0.5760617701491226,0.513854984213697,0.5688290240759315,76.65,76,5.976048685773639,67,86,69.7,84.2,42.35,42,6.072153870874728,32,52,34.8,50.2,48.7146,48.283,1.255181446308818,47.058,51.276,47.3436,50.6354,6.785428085504423,6.797728590133819,0.4931169354730628,5.995818209385605,7.6767972488531955,6.132088066491583,7.406974690316114,70.57358465262615,70.6052226824497,2.942898646666027,65.37277571004118,75.85245031071533,67.06645738585283,74.65377180732592,21.6,21.5,2.036508880671192,19,27,19,24.1
0.000030000000000000004,0,500,53.45,54,2.305028827311459,49,57,51,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5351969876192609,0.5270502645565756,0.03263247273236367,0.49395056910105706,0.617370850418076,0.5061533321512621,0.571773548242591,0.536186149768981,0.5389603080236887,0.01975117401038097,0.4925387855959683,0.5802513700049602,0.5121689832647894,0.5534658687472522,74.45,74.5,6.278409117971811,59,83,68.3,82,41,40,6.232343480839122,28,51,32.8,48.300000000000004,48.1999,48.596,2.090804073480873,43.408,50.804,46.168600000000005,50.338800000000006,6.685894736598742,6.772181349623492,0.6343359321877078,5.1374639658103805,7.797204627300743,5.970833347308244,7.276318589335875,156.36939208034136,155.5720253997951,8.070091625363247,140.4339745683441,171.13132484788713,145.5855905629332,166.20353840599785,24.75,24.5,1.8317377426626162,22,29,22.9,27
0.00004,0,500,52.85,52.5,2.6808286228819544,48,56,49.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5432510730752668,0.5433153432252413,0.026142550146145572,0.5015335606073646,0.5921852808872853,0.5056733390092171,0.5789844306344462,0.543065934621505,0.5422069235540463,0.02156927079899893,0.5036922365192505,0.5794835948999026,0.5116712776019084,0.5714547027200407,75.1,75,4.700503892361462,66,82,70.60000000000001,81,42.25,43,6.033895486072169,31,51,35.5,48.2,48.969899999999996,49.18,1.5589827283739943,45.808,51.194,46.888000000000005,50.694,6.679944773366264,6.8225195222838835,0.6765438677780627,5.181619823954672,7.770852205517733,5.592948158715423,7.319580830384127,268.08178380389404,265.63207057198406,7.75812676510831,257.4330503519063,281.6788944427891,260.73308702710256,280.49077973242635,24.85,25,2.3457688673327066,21,29,22,28.1
0.00005,0,500,53.6,53.5,2.010498759800138,49,58,51.8,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5624664576964256,0.5617505171413257,0.03531201028139024,0.5026952921956496,0.6306795933882409,0.523125469625653,0.6091876096631172,0.5433511201304985,0.5361210928642465,0.024783218028686223,0.5052719858416854,0.609797062611998,0.5215993249103131,0.5702780766193406,77.05,77,6.328506932918697,68,99,70.9,81,43.45,42,6.320184874044846,33,64,38.900000000000006,47.400000000000006,48.36230000000001,48.159,1.6244290689346819,45.618,51.192,46.4856,50.6836,6.794929134888164,6.891143172649151,0.5921819171487179,5.398895813034384,7.772292068624288,6.079457412692656,7.4092342789432015,368.0668138748505,367.0675627911685,17.45637152531693,330.0923345473198,404.34967032120693,351.2501551290837,383.969622501182,25.2,25,1.9894458366193601,22,29,22.9,28
0.00006,0,500,52.35,53,2.1343062474478063,47,56,49.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5701889958036424,0.5604851942653671,0.042274348750609946,0.5084499379988385,0.676610891108009,0.5335775851775992,0.6231802146038503,0.5401472407538337,0.5365499206450961,0.019888293999773474,0.5096918144547212,0.5754638782012153,0.5194312865447123,0.5724580229343531,77.7,79,6.8679269836415395,60,87,69.6,86,45.35,45,5.6964901474504455,33,53,36.9,52.1,48.1947,48.423,1.813599419009496,43.41,50.988,45.9696,50.2122,6.712705172261584,6.786448904105019,0.46441300844530686,5.635451712152281,7.520428445241675,6.2788456647688085,7.2553929657359415,464.92281119311167,467.05377626618264,23.296846556182317,417.91635983778036,524.0742745530018,432.7111482380014,486.1328929764169,24.75,24,1.8883298106221302,22,29,23,27.1
0.00007000000000000001,0,500,53.15,53,2.9607075967890197,47,58,49,57,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5569904361340506,0.5595460822471234,0.031130887246706263,0.5045629493068702,0.6042595726844961,0.5196723118077988,0.5979412098054937,0.5416765467090462,0.5406382756924475,0.020828010424875545,0.5097972702162243,0.5869286749856065,0.5207539367701123,0.566914224293099,76.05,76,5.753488644200784,68,89,68,81.4,42.9,41.5,4.564162458476738,35,52,36.9,49,47.9271,48.141999999999996,1.8081096234814735,44.332,50.832,45.529199999999996,49.9366,6.834695672584512,6.966073982017402,0.7126845195268248,5.121952752612978,7.9506487785588895,5.821976962458458,7.6760542327195145,563.1165667301691,559.8381702761612,25.61316740185138,519.7924139897711,608.7298998486717,532.2404303824181,590.4284680919457,25.55,25.5,2.012461179749811,22,29,23,28.1
0.00008,0,500,52.7,53,2.5152168474057435,47,57,49.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5658218687666043,0.5700182704117445,0.033045416478185444,0.4924311610812908,0.6316811599577585,0.529062086573532,0.5992766875907645,0.5440396517124549,0.5527387165357731,0.026460684433908206,0.46622272285786925,0.5883820155232868,0.519042136980318,0.5643028891728709,74,75.5,6.704279858497304,52,82,68.8,81,41.3,41.5,5.361657245763909,25,49,37.6,48,47.505599999999994,47.652,2.196326080670076,41.412,50.898,45.3174,49.969,6.7440929662256845,6.794305845533186,0.5338271580175684,5.623011292892802,7.509539533153812,6.017381004801791,7.321546034919988,651.356493472177,657.2597744865177,34.65380512015417,565.2492599276048,707.0531245493135,614.5259522907885,690.8523426380505,25,24,2.6950246556825492,21,33,22.9,28.1
0.00009,0,500,51.85,51.5,2.3004576203785825,46,56,50,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5670815526485966,0.5708566911828374,0.032916261365489474,0.49660831191238736,0.6335992296071901,0.5316239407965027,0.6082340769458011,0.539178282557834,0.5379194770638256,0.02076780588413227,0.4799175465659331,0.5778705252900156,0.5232386598916343,0.5605715383881389,75.85,75.5,5.470254492299816,67,86,69.89999999999999,85.10000000000001,44,44,5.54408171884787,34,55,36.9,50.400000000000006,47.0303,46.873000000000005,1.6796689241445293,44.082,49.994,44.4176,49.315000000000005,6.673379820507702,6.632135946384997,0.5350458625109806,5.690630545027504,7.832542116069323,6.104466804899532,7.239663553496902,731.4697071255014,733.0265238416569,37.137074813411,650.5729025477156,795.3196945247308,687.7539461003829,787.35788007997,24.65,24,1.9540780569443943,21,29,22.9,27.1
0.0001,0,500,51,51,1.8637822325921867,46,54,49,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5782250944086078,0.5792453899676423,0.03801204321087338,0.5068885364386515,0.6454159333541056,0.5190048631526476,0.6204015355951272,0.5456162213350265,0.5478556687862286,0.020644187461690684,0.4910838145863592,0.5779898335817129,0.5252426335214897,0.5703686715552335,74.65,76,8.791592874056322,54,88,64.1,82.5,43.65,44.5,7.988643254810642,27,59,33.4,51.300000000000004,46.777,47.116,1.8228114202199328,43.258,49.71,43.8706,48.8734,6.326979559361782,6.141754800109536,0.7675602190798614,4.857101604866823,8.410360039855608,5.666564974400335,7.190644370505701,817.9580586443265,813.8523449025924,33.96025145067208,736.995994270642,870.0413751386749,776.2141400507884,857.8519764004301,25.3,25,2.53605578553951,20,29,21.900000000000002,28.1
