parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90
0,0,500,53.1,52.5,2.1001253095445223,50,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,48.420100000000005,48.516,1.340508226480971,45.52,50.962,47.181799999999996,49.838,6.741308006776903,6.654581029621417,0.7041741394716085,5.581519148045618,8.115402392980872,5.875536963627658,7.6804423430550965,29.7,28,3.5997075904637175,24,36,25.9,35,18.5,19,1.4689774459950382,17,22,17,20.1,0.5194778901699213,0.5191843360607988,0.018949960613278166,0.48473261419878216,0.549310545603942,0.4893476320900296,0.543846574908522,1.2136550132873662,1.2083333333333335,0.27824083749047596,0.7647058823529411,1.75,0.8448717948717949,1.5857142857142859
0.005,0,500,53.75,53,1.8027756377319946,50,57,52,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.95,3,0.22360679774997896,2,3,3,3,49.204100000000004,49.447,1.4195070271048331,46.186,51.688,47.2604,50.717800000000004,6.767395277369971,6.735575784254493,0.307030188521856,6.056731791981535,7.413974912285566,6.495801070451166,7.146593732051423,30.3,29.5,4.964081512541661,23,40,24.9,37.2,21.4,21,2.010498759800138,18,25,19,25,0.5499912764794737,0.5483730851788406,0.0156140688760728,0.5181933871679602,0.5869242792189627,0.534305438228807,0.5676687853915018,1.121010101010101,1.101010101010101,0.27666936676279663,0.6666666666666666,1.7272727272727273,0.782142857142857,1.431428571428572
0.01,0,500,53.15,53,2.4553914898486253,49,57,50,57,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.9,3,0.3077935056255462,2,3,2.9,3,48.4242,48.532,2.1260122196014626,44.266,51.82,46.1452,51.4446,6.695639808942876,6.833165034166729,0.5932340879045548,5.342962099809424,7.642414278223855,5.9411950263088045,7.288482516794849,28.7,28,3.9349981609037368,24,39,24,34.1,22.65,23,1.899445902583726,19,26,20,25,0.5427725848752186,0.5451731666072878,0.016693777453502427,0.5110749716671203,0.5883250224191433,0.5244936060997887,0.5567560671596746,1.0665605391340685,1,0.2974192735083319,0.6470588235294118,1.6666666666666667,0.782142857142857,1.5125000000000002
0.015,0,500,53.7,54.5,2.3642067769572366,47,56,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.8,6,0.4103913408340616,5,6,5,6,47.522999999999996,47.503,1.7343399169045335,42.604,49.854,45.9456,49.4624,6.774969705801001,6.774930508367785,0.6160299766105262,4.669816270475752,7.46005361911026,6.353011065225026,7.3728132032356415,30.45,28,6.2194516597018765,23,45,25.9,36.000000000000014,22.3,22,1.8666040089734595,19,25,19.900000000000002,25,0.5487330282059723,0.550320355233451,0.01493020138466112,0.5216479065096873,0.582285714178141,0.5294125755632959,0.5649534961019721,1.2212007437007437,1.1825396825396826,0.233047016107161,0.8,1.5555555555555556,0.9923076923076923,1.5555555555555558
0.02,0,500,51.35,51,2.1095023109728985,47,55,49,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.75,6,0.4442616583193193,5,6,5,6,47.18610000000001,47.206,2.0572659910412017,41.018,50.45,45.708,49.346999999999994,6.395948154268927,6.402391035824283,0.5780072917988083,5.175487996314935,7.535538202411306,5.643292773072202,6.973746466214608,32.1,30,5.618578205616753,25,44,25.9,39.1,22.8,22.5,2.483630619200766,18,28,20,26,0.5437068786015152,0.5445618800960987,0.016097189876112056,0.5139624479820715,0.5676020969541826,0.5247395497663017,0.5668394686131905,1.0679749417249418,1.0357142857142856,0.2049363030011702,0.7777777777777778,1.5,0.8547619047619047,1.31
0.025,0,500,51.8,52,1.7044832524535802,48,55,50,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.6,10,0.5026246899500345,9,10,9,10,47.055699999999995,47.344,1.463791080146272,44.79,49.864,45.043400000000005,48.749599999999994,6.570886448342877,6.4606120594225445,0.6627682638464552,5.625912903698373,7.837208431578154,5.818084157183703,7.4522108099494195,29.85,28.5,5.122448016740679,23,40,24,37.2,22.7,22.5,2.2734161635370636,19,28,20,25.1,0.5550862278149686,0.5511264610340733,0.022716449236588575,0.5092491036683583,0.6018506596402534,0.5367233211901186,0.5817057285574937,1.1036303361671007,1.0741758241758241,0.21496776089136627,0.8235294117647058,1.6,0.8633333333333334,1.4590909090909092
0.030000000000000002,0,500,50.85,51,1.6630662866176475,48,54,48.900000000000006,52.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.25,12,0.8506963092234007,10,13,11,13,46.8036,47.31,1.3457372231175786,44.308,48.61,45.076,48.1164,6.597599653560489,6.501127249142116,0.41983406664333034,5.802511180514902,7.641956555751926,6.234989438105128,7.026357043608825,29.25,27,4.375469899577103,24,36,25,36,22.55,22,2.2118104039808415,19,28,19.900000000000002,24.200000000000003,0.5584614715208667,0.5585740520699558,0.017903350907691847,0.5132651606178892,0.5914133861555609,0.538797988902989,0.5763641292596103,1.0277999485894225,1,0.2248169358664778,0.7777777777777778,1.6666666666666667,0.8101973684210526,1.3084615384615386
