parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_immune_threats_mean,total_immune_threats_median,total_immune_threats_stddev,total_immune_threats_min,total_immune_threats_max,total_immune_threats_p10,total_immune_threats_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90
0,0,500,53.45,53,2.3277502126799554,49,58,50.9,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0,0,0,0,0,0,0,48.5294,49.045,2.202774145672249,43.96,51.09,45.5708,50.833,6.7386113768301374,6.676358449845373,0.44443827592930063,5.612343539021796,7.540674770867664,6.2434379542576535,7.261481557406588,31,30.5,5.03670736221905,24,43,24.9,36.2,19.05,19,1.7312909694943337,17,23,17,21.200000000000003,0.5330677390085319,0.5368605474120061,0.02446849462751287,0.49245275534963384,0.5847257944809122,0.5030400628913112,0.5622166934246626,1.2651510989010988,1.225,0.4313605855980325,0.6923076923076923,2.4,0.7977777777777779,2
0.005,0,500,54,53.5,2.406132515928939,51,58,51,57.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.95,3,0.22360679774997894,2,3,3,3,48.785199999999996,49.044,1.7852203048481459,43.702,51.356,47.4354,50.5244,6.831733282014319,6.81331384324071,0.5261782401809659,6.0421929793743026,7.905334654522852,6.173482085193877,7.534664852517444,29.25,27.5,4.302691935839335,24,37,25,35.2,21.5,21.5,1.4689774459950382,19,24,19.900000000000002,23.1,0.5383347630158645,0.5433544114486898,0.01632200979824956,0.5100855845994056,0.5644697828736812,0.5166117592119785,0.5580991184167751,1.2147330447330447,1.101010101010101,0.27435176806271255,0.9,2,1,1.5100000000000002
0.01,0,500,52.35,52,2.323223713087621,47,56,49.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,2.8,3,0.4103913408340616,2,3,2,3,47.7107,47.657,2.2162990749160376,42.088,51.246,45.4862,49.8858,6.520586716433014,6.604167423260355,0.6504831188208391,4.52418567258241,7.321303435864406,6.019625478417668,7.20653741877041,30.55,28.5,5.862234170833182,23,44,24.9,38.1,22.3,23,2.473012226755907,18,27,19,25,0.534309573518461,0.5340168271020403,0.015549556713702926,0.5026866184713331,0.5575647424886429,0.5158260482320678,0.5552014757795884,1.1327981740481738,1.1,0.17711236864301724,0.8,1.5,0.9818181818181818,1.3363636363636362
0.015,0,500,52.95,52.5,2.1636956688426445,48,56,50.8,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.75,6,0.4442616583193193,5,6,5,6,47.6602,48.193,1.7547330161294445,42.978,49.468,45.331,49.330600000000004,6.5833485393200935,6.563623578275482,0.7343628888055074,4.797707369150396,7.889519883998005,5.869340095519472,7.615507837542916,28.35,28,3.5433406776507868,23,37,25,32.400000000000006,22.8,23,1.7947291248483563,19,26,20.9,25.1,0.5500442016326852,0.5454815012302425,0.022067352018240057,0.5141904552993735,0.5876132276191828,0.5211113240230231,0.5742944201808593,1.1860964035964037,1.0954545454545455,0.27205740151759283,0.8333333333333334,2,0.9857142857142858,1.5045454545454546
0.02,0,500,51.7,52,1.5593520921743178,49,56,49.9,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,5.85,6,0.36634754853252327,5,6,5,6,47.41930000000001,47.991,1.7277055396041732,43.808,49.676,45.007999999999996,49.3934,6.613907415181572,6.58694393191967,0.6372623217666309,5.6778429002571045,8.422344329223298,5.983447226406657,7.258024924216716,29.7,28,5.420234991992602,24,42,25,40.1,22.8,22.5,2.0672890969882074,19,27,21,25.1,0.5497482780728642,0.5488566869987829,0.022571405889863776,0.514029262807168,0.5818556038949831,0.5207355596043807,0.5785273194535347,1.0295183982683982,1.0072115384615383,0.2038315194881015,0.7692307692307693,1.4545454545454546,0.81125,1.2898989898989903
0.025,0,500,50.75,50,1.3717065820970682,48,53,49.9,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,9.8,10,0.523148363780597,8,10,9,10,47.2959,47.653999999999996,1.7839999380457863,42.46,50.06,45.28959999999999,49.126999999999995,6.382742664793486,6.416152098043463,0.2995018232524141,5.770663393406344,7.142233544207302,6.021616822379796,6.619498752441058,31.1,28.5,5.711484275700927,24,42,25.9,40.2,22.6,23,1.6026294183720635,20,25,20,24.1,0.5619300492141621,0.5555878901704897,0.02167383513432578,0.5201012188558191,0.6004998489750593,0.5374990202068729,0.5909814452170112,0.9807237574516987,1,0.11730363847470356,0.7777777777777778,1.1666666666666667,0.8224264705882353,1.1666666666666667
0.030000000000000002,0,500,50.7,50.5,2.319255778999172,47,55,47.9,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.4,13,0.8207826816681233,10,13,11.899999999999999,13,46.32130000000001,45.985,1.5373326558480576,44.476,48.942,44.5218,48.220400000000005,6.630861746682922,6.671466409512617,0.5182122064591722,5.669221816087274,7.719239340764078,6.100142781363126,7.214663178568162,28.4,27.5,5.295479700948526,22,44,23,34.2,22,22.5,2.200478416880723,18,26,19,24.1,0.5621107126980385,0.5651612676036868,0.013977541021070317,0.5268412503545108,0.5811870748885472,0.5432760222905835,0.5757329250557621,1.0251524172422006,1.0645833333333332,0.1321890604754923,0.7894736842105263,1.25,0.8473529411764706,1.1634615384615385
