parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0.1,490.05,7.85,8,1.9808291724745766,3,11,5.8,10,0.1,0,0.30779350562554625,0,1,0,0.10000000000000142,485.15,500,47.83664637954989,308,500,489.5,500,12.92735810432281,12.802,0.8780404329575555,11.578,14.582,12.030599999999998,14.17401344537815,5.2,5,1.5761378513048248,3,8,3,7.100000000000001,0.511781822126156,0.5193615737310127,0.0367701634659601,0.4243250245513783,0.5663772510292583,0.4753686802625809,0.5587911978607949,0.5645589918057815,0.5924962683806594,0.1809307447680819,0.014331056948208125,0.8311973190467215,0.3885705652666499,0.7823809030256044,13.05,13.5,2.1878853044122666,9,16,10,16,25.2,26,2.802254731273974,20,32,21.900000000000002,27.1,0.5757525847128132,0.5915174006913988,0.083907396506768,0.4498716774776707,0.7110120454003069,0.46803515288041025,0.7024161703240978,729.8022592942323,723.916726124582,157.00554601566563,429.90079029966705,1016.9816124336642,566.8474370164504,935.8870665672496,1.6287500000000001,1.3333333333333333,0.8351886145834512,0.625,4,1,3,6547.075881090487,7242.776782681922,3387.6868342934795,13.042205176845124,12270.583249079795,2686.742508296841,10540.893612849188,0.4278485710436984,0.3849993513485019,0.17616662623216697,0.23864349129876974,0.9148963064796413,0.27056879035170234,0.628349737467476,0.47214348597800904,0.5003508764262721,0.4572280830056608,-0.34374976560897536,1,-0.09359506355063538,1,0.47999457607008944,0.4835826913464857,0.05394647649864755,0.3572242513842964,0.5826772444639181,0.41489135695284035,0.5326606649162025,0.7874514513108511,0.7808149242116385,0.035662958400279915,0.7356503648493947,0.8823747682319046,0.7548239175258903,0.835853632896877,0.9353991147741147,1,0.0956138733282997,0.6923076923076923,1,0.8414285714285714,1,0.8773595169926691,0.8846153846153846,0.018013129878446478,0.8260869565217391,0.90625,0.8564285714285713,0.8892857142857142,0.2203032099326217,0.231,0.12048493133965311,0.054,0.506,0.0656,0.3334000000000002
60,0.1,483.2,7.35,8,2.1830688201896455,2,10,5.7,10,0.1,0,0.30779350562554625,0,1,0,0.10000000000000142,478.3,500,66.96825642362994,268,500,479.8,500,12.983751248647712,12.710999999999999,0.9357595633459385,11.464,15.107255520504731,12.084000000000001,14.040576945244958,4.95,5,1.4317821063276355,2,7,3,7,0.5018564415004079,0.4940984981226268,0.05601526753492263,0.39826994164232665,0.6109923635008002,0.4301427392928917,0.5611167943185987,0.5272087888833232,0.5869332605822879,0.1783497079042105,0.05215500850645483,0.7818849766605671,0.30188725738725336,0.6792795022919327,12.2,12,1.8238190122579827,9,15,10,15,24.85,25,2.66112362496905,21,29,21.900000000000002,28.1,0.5513628766774606,0.5367756127440882,0.0615310902430123,0.4657423044892745,0.6944809660671799,0.48780031004593766,0.6279245058526925,726.5297595155314,742.9378463297854,152.90515793758183,317.8625110558241,1023.1717512638648,577.7019805539552,852.6753228419905,1.632097288676236,1.3333333333333333,1.0118522009750772,0.2631578947368421,4,0.9545454545454546,3.1000000000000014,7700.379452524425,7856.095525591572,3744.7308810088507,56.584532501885256,17688.348147358705,3854.1484179159193,10705.874281302158,0.41500696190411546,0.3883780635819676,0.11824741567758852,0.26408391010154,0.6106676314253,0.28013463610436423,0.5582030077560018,0.37059384329857703,0.40105077562249675,0.3998035291289787,-0.3755816487314984,1,-0.029476100363485584,1,0.4609612412099855,0.4465483322777586,0.05507115205704284,0.38447094427724426,0.5495712049773873,0.38782284843432147,0.5370707601384745,0.770463928711383,0.7604303412969902,0.03249020261452391,0.7342510872328722,0.8534525493655458,0.7434620448489261,0.8119090668137359,0.9725396825396825,1,0.054681269559766134,0.8,1,0.898888888888889,1,0.8779495121320459,0.88,0.013084015960839551,0.8571428571428571,0.896551724137931,0.8629870129870131,0.8932266009852218,0.1977280848007709,0.19,0.10891432785958094,0.054,0.4553314121037464,0.0756,0.3313072555205047
90,0.05,491.75,7.75,7.5,1.9701723141310308,4,10,5.8,10,0.05,0,0.2236067977499789,0,1,0,0,489.3,500,47.851854718495495,286,500,500,500,12.992637313432834,12.725999999999999,0.928223290412341,11.324,14.684,12.0658,14.628474626865671,5.6,5,1.535543791899829,3,9,4,7.200000000000003,0.5104697692901976,0.5122184375486354,0.0450846819088626,0.4313736451344463,0.5867037254872693,0.4539643918204368,0.5806606842039468,0.5695869292090755,0.6129472912149035,0.1360112981064704,0.20186346710255582,0.7524656393319553,0.4338630481342407,0.6992456927250276,13.95,13.5,2.0894471693929497,10,18,11.899999999999999,17.1,26.2,26,2.9664793948382653,22,34,22.9,29.300000000000004,0.5747452428670926,0.5742807679373776,0.08690549872183767,0.42990065990486603,0.7550846139104084,0.48557561563303764,0.6783586999046649,684.5525136761656,685.6452733584492,118.9737383789023,370.19801102665826,863.6873989152703,537.3535309006172,837.872349120881,1.5220238095238097,1.4166666666666665,0.8116956804556535,0.5,4,0.8732142857142857,2.1000000000000014,5937.435835000592,6312.111062779761,3239.10845213188,1284.0341246316207,11097.725070629687,1420.8541360523664,10185.498870181087,0.3910566818379183,0.37818783207507733,0.08182355420476957,0.2741059775059652,0.5501938503203929,0.30798505931237413,0.5205538497133192,0.4316572729241844,0.5188754472076798,0.48199675945845183,-0.5149897533652525,1,-0.15930196996509077,1,0.4747076490603145,0.47150421438582557,0.060446921225166275,0.33972159110868166,0.5851500233382343,0.4155431335121754,0.5565536200100222,0.7687213426316413,0.7695282806403414,0.03502696301878809,0.7057350309455914,0.8336616360760647,0.7234169131161716,0.8127086349032098,0.9697619047619048,1,0.07575494250541864,0.7,1,0.9190476190476191,1,0.876650397814395,0.8823076923076922,0.025472474765350802,0.8076923076923077,0.9117647058823529,0.8587542087542088,0.897521551724138,0.15525820895522388,0.101,0.10574430567169431,0.04,0.378,0.05740000000000001,0.3121164179104478
120,0.1,485.85,7.95,8,1.9324105480761045,4,10,4.9,10,0.1,0,0.30779350562554625,0,1,0,0.10000000000000142,480.95,500,59.35927631137803,281,500,483.8,500,13.185880855062251,13.263,0.874591479846377,11.41,14.724242424242425,12.3376,14.346800000000002,5.95,6,1.7312909694943341,3,9,3.9000000000000004,8,0.5364544705819394,0.5203525679999516,0.05713326136947105,0.46467279543720796,0.6748118141302517,0.4766099256588543,0.614794394749015,0.5915849742151984,0.5990641477034073,0.11554959873756958,0.3001649233837623,0.7908034383376853,0.47784749218061956,0.7113344169549439,12.15,12,3.313052337267506,4,18,8.600000000000001,15.100000000000001,24.2,23.5,3.2702808506465106,18,33,20.9,27,0.5617310921751745,0.5599889781630019,0.08615559576668474,0.4488829424836217,0.832112066956196,0.46066434315341953,0.6185922557448253,741.6651425489897,731.2241528449545,165.13951484191236,368.99943763069797,1046.7075264306704,601.143881627718,954.095154588665,1.655681818181818,1.4166666666666665,0.8569351470006347,0.36363636363636365,4,1,3,8364.399944775743,7845.03981000713,6188.797295973703,675.7456315140332,31682.885489554916,4208.323900882924,10832.360500285404,0.40391738494466034,0.38124726928473684,0.11457555135070903,0.2638215547246094,0.7543244228606987,0.29772686475970905,0.5055555552750496,0.4600532883308734,0.4602522023145291,0.4468100940843149,-0.3205812098358306,1,-0.06610932653379575,1,0.4939643201040501,0.48812697870631033,0.06010805795210137,0.39118681859200477,0.5997155959352282,0.4216094897378763,0.5908218692685918,0.7931760409908436,0.7769783730984674,0.04058385040679042,0.7373108630623411,0.8847511686449155,0.7566648047233531,0.8581291113923019,0.9451136363636363,1,0.12283858809646435,0.5,1,0.8163636363636364,1,0.8718428359080533,0.8695652173913043,0.019044264887393327,0.8333333333333334,0.9090909090909091,0.8483333333333334,0.8888888888888888,0.19763669250645996,0.158,0.14653123211315786,0.036,0.6,0.0572,0.34880000000000005
150,0,500,9,9,1.0760551736979407,6,10,8,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,13.237100000000002,13.241,0.5616050213450731,12.332,14.558,12.5942,14.0252,5.95,6,1.2763022245616644,4,8,4,8,0.5255762036487821,0.5259787986284608,0.03213743562640008,0.46892809782223593,0.5873526961294508,0.485133994705508,0.5629143257937933,0.6367265284426886,0.6221760683656901,0.08361477687348365,0.5013828217507349,0.8045849906326515,0.5431821545742008,0.7420308874639807,12.45,13,2.5848750351551657,6,17,9.9,15.100000000000001,23.45,23.5,2.3050288273114594,20,29,20,26,0.5929098828844789,0.5683666676349263,0.09538011786387351,0.4682384594532899,0.7635639141426036,0.4819882179284106,0.7425657527612373,806.8456763840866,734.8328939878027,227.04900588288504,535.2119349678402,1510.2470494936897,629.0542391289125,1001.0005999949021,1.6625,1.6666666666666667,0.5075994126697647,1,3,1,2,7343.545287509963,6837.260499414851,5004.498798308865,731.9359756351212,24068.954239896102,1881.4712323298854,10648.613589855777,0.4023415986163349,0.34608786115750023,0.13675822378003533,0.2556210646059823,0.7249126609650692,0.2875665258302471,0.6219624339390758,0.6920677450285393,0.6581796705749683,0.3028914087538997,0.19908838206838186,1,0.30561296325145393,1,0.4997686178750782,0.4978227608332333,0.04159696953295982,0.42264101165867385,0.5889692444077451,0.4529272874585147,0.5514263456823522,0.7787838641290792,0.7697214296955857,0.042788554684224794,0.716763932531003,0.8584477712311884,0.7282057387104461,0.8408754417038318,0.9647671568627452,1,0.11226937468386447,0.5,1,0.9354166666666667,1,0.8643883044741365,0.8695652173913043,0.021285554665366063,0.8,0.896551724137931,0.8448717948717949,0.8804615384615384,0.16710000000000003,0.155,0.0981309007612308,0.032,0.388,0.060200000000000004,0.3028000000000001
180,0,500,8.45,8.5,1.7614288458371996,5,11,6,10.100000000000001,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.8834,12.686,0.7185652664200123,11.906,14.394,12.0028,13.7308,5.5,5,1.1470786693528088,4,8,4,7,0.5325779477687935,0.5326484134559064,0.0503544792724861,0.4536027085434173,0.6642386846528077,0.48231862594368946,0.593985784316236,0.6224143834050601,0.6652990100544649,0.11669034595039873,0.30909519781122685,0.7539476732137601,0.4363511182807497,0.7260683975698528,12.75,12.5,2.0487480130686233,9,16,10.9,15,24.3,23.5,2.494203807145468,21,30,21.900000000000002,27.200000000000003,0.6162935045616162,0.6179088843902674,0.08315628813743364,0.48285462028664916,0.7737063510480052,0.4942560375043949,0.7284854152975284,770.0702844420956,747.7188652547406,152.95364924451377,552.6807510873248,1201.2652058651854,628.7868266180327,921.1717213481547,1.7291666666666667,1.5833333333333335,0.714754180128872,1,4,1,2.1000000000000014,6155.7433376272775,4709.94531972093,4419.348804069363,974.2312671511539,18320.232369407837,1400.17821337398,10448.838624300692,0.4479740814583758,0.4258876143386927,0.1237947160566268,0.27294464593477946,0.7974509479250753,0.31115952862137664,0.5458330286499111,0.6162749347670259,0.7218404280593145,0.4079020652688949,-0.18407482218061366,1,-0.0735988360580459,1,0.49474168213138103,0.49714473925284597,0.04350041920937348,0.4210053782087438,0.5526824245464265,0.4418697724853341,0.5488318414885704,0.788992381608327,0.7900493534136621,0.03836463890429413,0.7226601954491199,0.8853225370801061,0.7330644956283557,0.8253997115812111,0.9794507575757576,1,0.037299776195231955,0.9,1,0.9090909090909091,1,0.8692857572628936,0.8695652173913043,0.0226987934708543,0.7916666666666666,0.9,0.856043956043956,0.8896551724137931,0.18030000000000002,0.156,0.09884229863777956,0.058,0.42,0.09440000000000001,0.3064
