parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,8.3,9,1.5593520921743176,6,10,6,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.9575,12.776,0.8890936544120591,11.398,14.802,12.0546,14.171800000000001,5.75,6,1.446411166701189,3,8,4,8,0.513312131313409,0.5071622616876208,0.06149210636424717,0.389480553715202,0.6809757065559794,0.45833873694342775,0.5608200964383637,0.6130943541154434,0.6198661997443935,0.09981199791208033,0.31866863932397355,0.7469489768395271,0.5212006936661608,0.735894613303884,12.5,13,2.5026301953618404,7,17,9.8,15.100000000000001,24.2,24,2.284962282309918,21,30,21,27,0.5750155927195547,0.5696247900760323,0.07137160426666575,0.47012090232733666,0.705933010385843,0.4860381505995127,0.6612414107902821,824.5701215942399,758.999211246171,257.8649770981299,543.9261012990064,1573.0961242326173,641.1371158585963,1025.8255227325687,1.7083333333333333,1.5,0.9030082926574858,1,5,1,2.1000000000000014,9093.755893568246,7847.513753246041,6981.561392086046,2677.7720124160005,29758.24868780295,4062.9318887414242,11698.810411949496,0.42285784602523274,0.37557054126555023,0.15038350257657732,0.25693103816865975,0.796002429675585,0.27860340986584503,0.5554872356268934,0.5691163299018271,0.5758687168963645,0.36284565909746486,-0.08714358883805462,1,0.10051931334254852,1,0.4928310838875758,0.5053865718940374,0.05176599099579507,0.3759746393445041,0.5610291531637894,0.4233996311854213,0.5493112726686259,0.7840490841318661,0.7753706945136161,0.03891204855277396,0.7346112415316272,0.8674916134118068,0.7438089203815585,0.8491597936355499,0.9508695960901843,1,0.08883620259690603,0.625,1,0.8957142857142858,1,0.8726328007741051,0.875,0.018276140635966217,0.8095238095238095,0.9,0.8571428571428571,0.8888888888888888,0.20049999999999998,0.138,0.19362456890645496,0.038,0.75,0.054,0.37300000000000044
60,0,500,9.1,10,1.8609561775433734,5,13,6,10.100000000000001,0,0,0,0,0,0,0,500,500,0,500,500,500,500,13.321099999999998,13.376000000000001,0.8833144460079412,11.576,15.01,12.3238,14.389200000000002,5.95,6,1.2343760409722462,4,8,4,7.100000000000001,0.5281837748290503,0.5239712368336051,0.04152457045163058,0.4503335075103435,0.6358892983871207,0.4744996592314774,0.5695979500144966,0.6529810163488188,0.6762013185664713,0.1294359743712306,0.2919450654018237,0.84516375277581,0.4947419896031655,0.7740941393251543,13.35,13,1.9269556026896006,10,18,11,15.100000000000001,24.25,25,2.971354466976475,20,32,20.9,27.1,0.6200231082419525,0.6353188623333288,0.11196014962155484,0.430261703160028,0.8312684980820387,0.5032220768403254,0.7952180834980553,716.2950970849436,721.5596602673029,114.07390030578212,489.383197443795,928.7264690235476,566.8676545993407,847.3613481202389,1.6683333333333334,1.5,0.6073839022219495,1,3,1,2.5500000000000007,4675.864224784799,4963.701420547188,2345.9759888261733,660.7676171297059,8008.943621531915,842.042429450538,7332.93878487205,0.46265380870345235,0.4375134144614613,0.15250677843014013,0.24758787783539957,0.765810177286361,0.29380024459996706,0.6801938125337864,0.6753850038033751,0.7683876299185377,0.38838667624988177,-0.08462316138754039,1,0.021343929195693574,1,0.5035072813817916,0.5145840042323917,0.0566615173180878,0.3690065763667304,0.5823710062028328,0.4380885503017305,0.5631792466430967,0.7900825528807576,0.7817694548166059,0.04919453514544358,0.7011173195756579,0.8765146294408239,0.7418783142896639,0.8682731817575472,0.9782661782661783,1,0.05520911350178098,0.7692307692307693,1,0.9280219780219781,1,0.8585454783742827,0.8722826086956521,0.03419453069483179,0.8,0.90625,0.8085714285714285,0.8892857142857142,0.19160000000000002,0.133,0.14226824182360218,0.04,0.632,0.06960000000000001,0.3294000000000001
90,0,500,7.6,7.5,1.8467610337532774,5,10,5,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.7853,12.825,0.867802130005513,11.54,14.14,11.771799999999999,14.0216,5.3,5,1.1285761872936695,4,7,4,7,0.5258962966179472,0.5269029837103363,0.05050250481612636,0.42448491252574794,0.6352562651550308,0.47366376377518327,0.5746951591707354,0.563417603730443,0.5718292069542561,0.12863991965675728,0.27153336458412575,0.8507298318553513,0.3993503582867865,0.674096282426562,12.05,13,2.8923674513595623,3,17,9.9,14.100000000000001,24.45,24,2.9819633235769176,18,32,20.9,27,0.5696515942211877,0.5519894879249733,0.08162740607090371,0.43894966794567725,0.7276417115213609,0.49763489688607515,0.6966113431477514,837.9409756201212,716.3956662213895,332.3813239998954,578.7046474045434,2117.7958537390527,635.5932289745756,1026.6595714711993,1.458333333333333,1.3333333333333333,0.5430986469794206,1,3,1,2.0500000000000007,8745.83264006616,7333.5661636372715,6681.216157196857,2823.7385418626827,34365.309580932655,3664.4637332562756,11861.594028062222,0.39500384449912423,0.36385315424865683,0.12990266439386433,0.26237880813723513,0.7400818202510683,0.27577012315387517,0.5846227901484548,0.45831709573754803,0.4747189276812884,0.37164674389710506,-0.40009187352655734,1,0.10491534581135746,1,0.49624376114766855,0.5153004675921198,0.05495408946457627,0.41502997379717327,0.5798296208992366,0.4268856079993374,0.5505719661676453,0.7964899846068992,0.8018297158113016,0.035954652892028725,0.7398988039800558,0.8518236988871888,0.74751884274371,0.8370273121493921,0.9342460317460317,1,0.1546997229577182,0.3333333333333333,1,0.8492063492063492,1,0.8733310225402617,0.875,0.019278458199153675,0.8260869565217391,0.90625,0.8483333333333334,0.8888888888888888,0.23680000000000004,0.209,0.14042551874851478,0.04,0.55,0.0596,0.4038000000000001
120,0,500,8.6,9,1.6670175069329816,5,10,5.8999999999999995,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,13.1356,13.168,0.8978844375296271,11.472,14.468,11.823,14.153400000000001,5.95,6,1.394538218230416,4,8,4,8,0.5360764737642223,0.5372595413323962,0.04643247094012565,0.42966946198093403,0.6221028503377621,0.4828036344253668,0.5925921798853998,0.6235682909233558,0.6602666869861262,0.12182052680905263,0.25274629395074355,0.7650409241091055,0.4965222876378658,0.7220081017110763,13,13.5,1.6543403837370223,10,17,10.9,14,24.4,24,2.7606254058779776,20,32,22,27.200000000000003,0.5775300233392132,0.5489658443678892,0.09872368828972519,0.43746620374969203,0.8045051748318263,0.49577337261575777,0.687374913286616,710.5268342384177,680.2967729335829,89.92243853266876,603.2055578522826,905.0691093061272,610.1344550718196,853.8270774927594,1.6458333333333333,1.5,0.7233950778077574,1,4,1,2.1000000000000014,6103.084077674354,6656.505293586308,2434.5204673334943,791.3244723985161,8542.26069056535,1803.1111785879027,8394.40918367751,0.40068502590262767,0.3883006359453838,0.08636859229705647,0.2834747952792682,0.5689094639584527,0.30563604131185956,0.5254377151378705,0.6756758143963125,0.8753869190554158,0.40622333455750487,-0.16900141054503734,1,0.09705618687135116,1,0.4957699964021131,0.5052287979705579,0.05366312765104258,0.401334504002261,0.606004207790373,0.4047806295479025,0.538913221262806,0.7740249605518844,0.771931224519547,0.041142916025601405,0.7235312586560744,0.8763208371293602,0.728848715092935,0.812995164415199,0.9934873949579833,1,0.02014939980837515,0.9285714285714286,1,0.9941176470588236,1,0.8600934999429191,0.8695652173913043,0.03436843502243483,0.7727272727272727,0.90625,0.8163636363636364,0.8896551724137931,0.16060000000000002,0.14100000000000001,0.10313016813206197,0.022,0.45,0.059,0.278
150,0.05,497.25,7.55,8,2.4596747752497685,1,11,4.9,10,0.05,0,0.22360679774997894,0,1,0,0,494.8,500,23.255106965997808,396,500,500,500,12.864516853932585,12.919,0.8938216670266664,11.394,14.484,11.707903370786516,13.946,5.65,6,1.6630662866176473,1,9,4,7,0.5002353865276182,0.5167227684838576,0.12789192917679096,0,0.6356513016166151,0.4481474658766037,0.5857141498181966,0.5671270708179599,0.6059778974164849,0.18910848090281912,0,0.765126514620775,0.3081809750594281,0.7327799606610745,12.55,13,3.203205631205944,4,18,9.8,16.1,25,24,3.178877656956105,20,33,22,29.200000000000003,0.5987125002681002,0.5817516948738586,0.08436618360478665,0.49388231455469855,0.7967343272484777,0.5011934097179003,0.6966847931412933,828.427080475654,736.0990399749046,265.3897716681615,506.7329490608168,1702.7072124201145,628.8062686530692,1098.5791500519272,1.457440476190476,1.25,0.8195223127350062,0.5,4,0.8732142857142857,2.1000000000000014,8755.527635486782,5977.226423758919,10727.706133446794,0,50719.26272419947,1829.4004207162802,13541.776223483239,0.467527093195309,0.3937383985788665,0.1971045499551185,0.28681367595335183,1,0.30776731610948405,0.7884817254802543,0.5400552765896702,0.7456631613250893,0.4567563102269741,-0.3064485483775497,1,-0.018691077169683566,1,0.4878376655239965,0.49477777527379363,0.0555976666272039,0.3390435484537449,0.5725587488606141,0.4226801776291751,0.5394128302479185,0.7785816676135279,0.7628373510273048,0.033002105806315005,0.74253600457368,0.8366552146243543,0.7458173387704152,0.8291290939264239,0.9237415158371041,1,0.19404199884542503,0.25,1,0.8807692307692309,1,0.8741245138390275,0.875,0.02410635313715431,0.7916666666666666,0.9090909090909091,0.8622727272727273,0.8972191323692993,0.19349662921348315,0.162,0.13725598720140184,0.044,0.6539325842696629,0.077,0.2876000000000002
180,0,500,8.05,8.5,1.7910596686995395,4,10,5,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.793099999999999,12.779,0.8066629048774111,11.06,14.558,11.803999999999998,13.6742,5.5,5,1.2773327473170102,4,8,4,7.100000000000001,0.5409546628731661,0.5374196955897554,0.05041853825139805,0.4209628794161692,0.6303479531125369,0.49910908470041554,0.6102275474803672,0.6175444913261223,0.6423213847787013,0.11393067325729443,0.37290817221631906,0.7533555723965321,0.41968916826643987,0.7452431729002118,13.5,13,2.090076805438398,10,18,11,16,25.45,25,3.3478194002726767,21,33,22,31.1,0.5959397686913832,0.5930284426882939,0.062289134810218215,0.48960375073836127,0.7005587042926114,0.513319315515243,0.67931123521415,739.6312183019728,731.5764876080962,106.45349586869477,541.8008167354423,930.9114224217161,616.5540924554621,874.1988263701345,1.5875,1.5,0.7673314242358925,0.8333333333333334,4,1,2.1000000000000014,6659.389955591085,6885.811776606661,2966.8447322512056,1376.2008008550308,11242.126991723157,2816.3879473691936,9685.586705453996,0.42170874215214277,0.4207643246258554,0.09203936588293447,0.28624849068043023,0.5837159482148037,0.3193268746137154,0.5474355592964898,0.6316910517803491,0.6864131289193987,0.4184198198667026,-0.553309605368583,1,0.10879008183390684,1,0.4982022431004413,0.49063263521397893,0.04515045119190411,0.41876960023104126,0.571394474836648,0.4410687634224924,0.5640606859666166,0.7900822853406175,0.7798676672556623,0.038623028191152195,0.7340598138941277,0.869868466364458,0.750260846726115,0.8461940348854737,0.9834455128205128,1,0.03584457185084832,0.875,1,0.9323076923076924,1,0.8780595994409985,0.88,0.019803458266531015,0.8181818181818182,0.9090909090909091,0.8629870129870131,0.9035282258064516,0.1983,0.181,0.11217894539294655,0.054,0.422,0.0856,0.3448000000000001
