parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.1,0,500,52.95,53,1.7614288458371994,49,56,50.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0028705939464513785,0.000813529969106767,0.00918585171112863,0.0007630458153106113,0.041896799001597804,0.0007947278551298561,0.0008579480284198522,0.5515972465899127,0.542614082715789,0.030169438071468456,0.507605253813882,0.6253228901224408,0.5296406609392311,0.5863368263146598,0.5396736490738636,0.5393997101777095,0.019028162774956302,0.5091986933759174,0.5780793693257097,0.5108373940708539,0.5623583573291747,48.36139999999999,48.838,1.4002844974090842,44.916,50.666,46.4464,49.765,6.8558726600650814,6.966109433791409,0.46094099288100365,6.089553021363732,7.538461381475686,6.152014488894772,7.2924480269606855,79.15,78.5,5.687243342965488,64,89,73,84.30000000000001,46.2,46,6.109526642013576,31,56,40,53.2,1.0621544713456479,1.0416666666666665,0.2880556283820003,0.6666666666666666,1.875,0.7483333333333333,1.2466666666666673,69.45729737586717,69.07085786945561,4.558613425303911,61.65683631013781,77.37521214608087,64.13996556768014,74.1215662990083,2.3173258081763524,2.318487362970475,0.004285496366724233,2.3035782513856873,2.3210238286880513,2.312271707462453,2.320722566186254
0.2,0,500,53.35,54,2.007223796297028,48,56,51.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008146223624048323,0.0008118891594830061,0.000027106211151413107,0.0007685727599313194,0.0008833778455694782,0.0007817569396837142,0.0008455023503377998,0.5481910342928635,0.5395604204309804,0.0412923082890955,0.4806388389830607,0.6234607530909811,0.4971087641612612,0.59774382678447,0.5510848840053353,0.5497346029349943,0.0220740740371235,0.4983334051954364,0.5946470609431757,0.5331497715217232,0.584548635037112,48.8934,49.013,1.6628708339875105,44.544,50.974,46.7932,50.6458,6.79027385407408,6.8273326498677225,0.48572787126549705,5.813053930594489,7.875492111608013,6.145768575404448,7.213862279609966,77.85,78.5,6.0894645862644134,68,93,70.8,83.19999999999999,44.5,43.5,6.468547384317278,33,60,36.9,51.1,1.0700798507048506,1,0.22651405617861328,0.8125,1.625,0.8547619047619047,1.402857142857143,70.95618136190316,70.3305800847597,2.861444797952923,66.21397219622126,75.49739321140946,67.93557308118997,74.4277092026776,2.314207303569477,2.3177820381068077,0.013918297649940176,2.2567117797127443,2.3210238286880513,2.3111501335021876,2.3204312121896615
0.30000000000000004,0,500,53.1,53,2.04939015319192,48,57,50.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004859123012608119,0.0008233118633712863,0.018053885687721264,0.0007710843994401305,0.08156146841878326,0.0007897437821168403,0.0008734029931133456,0.5541059742995083,0.5488265659482507,0.039308941614588956,0.4838948654013304,0.6451459940734516,0.5131606855023045,0.6008502194040541,0.5433366494500554,0.5425655514101526,0.011904984452432073,0.5251636695507964,0.5681912195054654,0.5300778293604733,0.5586174980130608,49.1802,49.087,1.1931320833927201,47.154,51.42,47.7016,50.8178,6.608276340910706,6.683443456231803,0.524982006869427,5.42674856613055,7.570091412922313,5.947887562977774,7.199377549977116,76.35,75,5.565637051539894,69,86,69,85.10000000000001,43.25,43,4.97229164576318,35,52,36.9,49.300000000000004,1.052214035964036,1.087121212121212,0.24723888643313793,0.6153846153846154,1.625,0.7589743589743589,1.3363636363636362,70.63664319103755,70.67947747612872,3.5946084123382134,64.24651423141306,76.9522375998905,66.3436517623562,74.77967125416946,2.316147753558789,2.317557999354838,0.00494538281811789,2.3046658716437958,2.321928094887362,2.310091811985321,2.3208476117866272
0.4,0,500,53.55,54,1.9049796241485237,51,56,51,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004855984800145018,0.000803987126251456,0.013390518055913158,0.0007748424661924211,0.05655413476552657,0.0007941650574568221,0.0034087967394158137,0.5306583107095537,0.5261607670763724,0.02443766195350114,0.48369132790273117,0.5660964317531412,0.5008204398946761,0.5626175027374737,0.5422414804065903,0.5389885807545617,0.02656953179786671,0.5081605953504146,0.6016383580195008,0.5121263329187765,0.5720261771696211,48.747400000000006,48.760999999999996,1.6793824804937902,45.51,51.31,46.6524,50.8472,6.885196347717105,6.814962905435618,0.3916970545057251,6.323060967601058,7.792351121452381,6.460535132229618,7.499267463313897,77.2,78,6.732482141786467,63,89,69.8,84.30000000000001,43.65,43,7.520323341312841,30,56,34,52.2,1.0643263191057306,1,0.28386984204688387,0.6153846153846154,1.7142857142857142,0.7656410256410257,1.4155555555555557,70.44011198908419,70.2598420913418,2.671553504883171,65.11997464489684,76.70383620738072,67.44808841588811,73.0764036242131,2.3185448943563394,2.3199386174957586,0.0033765683572516175,2.309164207226707,2.321928094887362,2.3138262616548513,2.3211142553079824
0.5,0,500,53.05,53,2.350251946180731,48,56,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.002104594417945502,0.000806755812297639,0.00578726478065452,0.0007749666253740533,0.026691770706687195,0.0007869199901632501,0.0008508527457847912,0.5360149437710638,0.539331939398562,0.03788625796474476,0.44641223280342424,0.5921377729720962,0.4858374843251499,0.5832911461917516,0.549662989010224,0.548681234339053,0.016664886556011792,0.5135869149659001,0.5753777879977942,0.5358737184704466,0.5687684606822746,48.76959999999999,48.974000000000004,2.027744570231977,44.518,51.584,45.6264,50.937400000000004,6.649183706961256,6.585868599149478,0.5190185384388359,5.665070520302456,7.999573988657145,6.099229180110287,7.242414269657248,74.35,73,6.360031446463138,60,87,67.9,80.5,41.3,40,5.948020457969276,32,54,34.9,49.300000000000004,1.1197298534798537,1.1125,0.27113067748298314,0.5384615384615384,1.6,0.8282051282051281,1.380357142857143,71.44436500098541,71.14321667944091,4.201124931602751,64.62439651480706,81.03494342519201,66.08072670682665,75.90723994685952,2.318394572420087,2.3186785546254267,0.002531410103936571,2.314183921213933,2.321928094887362,2.314963825459169,2.3208580447518905
0.6,0,500,53.2,53.5,2.3078812338319508,49,56,49.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.002456944862301116,0.000817444801109121,0.0073510070880548764,0.0007752987316354421,0.03368779376845206,0.000785191372400897,0.0008398964007248456,0.5475600897623597,0.5475848036304267,0.034804121583209856,0.47891245217855777,0.6122617070145474,0.5012377593235118,0.585919355807959,0.5458512474764498,0.5418366758908668,0.021309218276618327,0.5138096611912565,0.5934212216641876,0.5204784171230321,0.5785521807928635,48.511199999999995,48.459999999999994,1.7112698147712917,45.692,51.56,46.3876,50.5096,6.814096106325239,6.7461287818751225,0.5794249906164031,5.830360194704938,8.18140599163738,6.151166525682726,7.500923045891074,77.1,76.5,5.830049200839607,66,92,70.8,84.1,43.9,44,6.512336471328049,31,56,34.9,51.50000000000001,1.0898573240485006,1,0.24515900230364362,0.7142857142857143,1.625,0.8710407239819005,1.4545454545454546,69.8489276878038,68.3874903719566,4.155803318446342,64.22656347936586,78.8617076553583,65.52576888533804,75.04154382565746,2.316586337118948,2.318246719914627,0.007154987311301842,2.2880019668724922,2.3210238286880513,2.31414098353415,2.320732999151517
0.7,0,500,53.4,54,2.036508880671192,50,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0008051599458846929,0.0008056542227237254,0.000026846190034551595,0.0007445983823324511,0.000869494480344712,0.0007790460395941014,0.0008264816173112714,0.5363358497992026,0.5345069985248171,0.029958442564986837,0.49073755411271414,0.593802518409736,0.5053349951530056,0.5783941978281774,0.5469117628795123,0.5486280355601352,0.01876090567338276,0.5157769580112656,0.5822953713471504,0.5219094091543626,0.5713419492838872,48.613099999999996,48.851,1.834454856640695,44.78,51.654,45.956199999999995,50.6988,7.013620625847338,6.908068364752508,0.5104906996304732,6.067915622353369,8.257618058496057,6.56206734000798,7.499267964700219,77.25,77,6.298496061091008,65,89,69.8,85.10000000000001,43.85,44.5,6.384809274652157,33,55,34.9,52.1,1.0514059551559551,1,0.2854666674725728,0.5714285714285714,1.75,0.7095238095238096,1.3375,69.8687524800873,70.0010914538761,3.2087682110065034,64.01354717473207,75.58548221440464,64.84747118313668,73.76028733402109,2.3189086133762484,2.3188582155539565,0.0018887971679370855,2.3149638254591687,2.3210238286880513,2.3161384149604007,2.3209194990354183
0.7999999999999999,0,500,52.7,53,2.556724878680371,47,56,48.900000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004608335185239383,0.0008113325170435923,0.015347060942570089,0.000778548555022243,0.06943882968620768,0.0007800766349286459,0.0015938191257263495,0.5447998274468231,0.5464049438390806,0.029202970488440623,0.49001158821756363,0.6019768940349318,0.5059566458787252,0.5823901851977508,0.54548049137375,0.5455800016729149,0.020022508272987325,0.5035481216281327,0.583240732049853,0.5226289249033502,0.5680856044103982,48.9535,49.518,1.9913388117439723,44.168,51.378,46.1148,50.8138,6.671834001355298,6.741183976076536,0.5576360427446057,5.009304941805857,7.450640509379051,6.012234593045428,7.229297382569759,77.35,79,7.5969176574935195,54,88,69.8,83.4,44.65,45.5,7.080551569356429,25,60,38.800000000000004,50.400000000000006,1.0476475975005386,1,0.2122507404632128,0.7058823529411765,1.5714285714285714,0.8393162393162393,1.3333333333333333,70.42267333267314,70.69807655608079,3.688464720906103,63.22884491517921,78.06088638172226,65.90171954744459,74.32923340352886,2.3155663880593353,2.3176547408297257,0.005363480382866874,2.3074128889934054,2.321928094887362,2.3090409511938828,2.3210238286880513
0.8999999999999999,0,500,53.3,53.5,1.5252264715358448,50,57,51,54.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.003929634020595394,0.000812007709126756,0.013966441220841706,0.0007545715587202318,0.06326636955576119,0.0007783014322572156,0.0008453911603024027,0.5437903420485249,0.5390490871342628,0.035945155503967825,0.46797346225324027,0.6234610726532456,0.5141322460643286,0.5817331192639991,0.5517584107707864,0.5502388302032445,0.01288287176619434,0.5231387136995657,0.5822959159772553,0.5392128647752052,0.5650124204055622,49.2105,49.442,1.7418509060615284,45.344,51.794,47.006600000000006,50.9628,6.7616329073992505,6.799105337200995,0.5247233111244655,5.086616164013146,7.533681968333939,6.3447156747516695,7.30899112623776,77.65,77.5,5.650104796419826,66,87,69,83,44.35,44.5,5.575085555161322,35,56,38.6,49.1,1.0721647796647797,1.0884615384615386,0.23833019931565416,0.6923076923076923,1.8,0.7969230769230771,1.3,70.466696225915,70.81512843049452,3.8181298890547066,62.38596746864822,77.22624428892838,66.19864241126675,74.74873374460716,2.317034501608954,2.318246719914627,0.0038568309488984025,2.306936892842602,2.321928094887362,2.3110774466430573,2.3208476117866272
