parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
30,0,500,30.6,31,1.0954451150103321,29,32,29,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,30.118300000000005,30.177,0.3483405925542596,29.366,30.644,29.7654,30.515400000000003,20,20,0,20,20,20,20,1.9805593161404196,1.9903391641787742,0.08088845633205849,1.8258970398135732,2.130085444295604,1.8538960450678743,2.0586016080462066,0.5306844176695469,0.5279921664239231,0.030038393422555435,0.48392317198021845,0.5990190237184211,0.498728158534928,0.5632906060720192,0.5733571905768299,0.5714825184283785,0.03112068084451528,0.5066353694751259,0.6492001334281253,0.5462970026257046,0.6037041312542832,28.3,28,4.354066459855901,22,42,24,32.1,17.7,17,4.256264732565892,13,32,13.9,21,1.0108333333333333,1,0.5522488580065972,0.25,2,0.3333333333333333,2,0.8285694773151585,0.8274724581408761,0.01138525097495126,0.8022455287790407,0.8483705158767153,0.8167710448738175,0.8403295210719758,1892.7486099069204,1897.6540585154605,90.63057765246197,1715.4566266010602,2047.3272444844386,1804.1934150623692,2011.9482378685693,50.13854047470582,50.03186901815584,2.866741384363198,44.34179860498787,56.705408416999965,46.49953095498055,53.40519932874694,2.276114539436819,2.285643943008208,0.04021188326236214,2.160374329980682,2.317740814944148,2.2303972125501774,2.3102947814972263
60,0,500,48.1,48,1.9166857359844662,45,51,45,50.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.86039999999999,44.679,1.974258192467823,41.14,48.2,42.51,47.203,20,20,0,20,20,20,20,6.082084243784122,6.109688203150585,0.5295007097187255,4.686619250589926,6.84450465702231,5.70422186941471,6.68806354307504,0.5498589147124123,0.5496398638850812,0.02268732922866235,0.5030608676418631,0.5943420136021884,0.5194207860515665,0.5712669899306124,0.6461698869627355,0.6505613055443837,0.027640320208240136,0.5905647964491961,0.6817617109998537,0.6081585649528819,0.6748878075574096,85.65,88.5,9.82089608946149,58,98,76.80000000000001,96.1,57.55,59,9.588781822635514,29,69,49.1,68,1.0877849927849925,1.0773809523809523,0.21053378573332668,0.7222222222222222,1.5,0.8085714285714285,1.4285714285714288,0.803712714789431,0.8039699053383531,0.013257614638793817,0.780341459302697,0.8312911829061826,0.7880990618950109,0.8202012844615171,1403.5076862974827,1397.598248208583,105.19459231175637,1244.7633119946747,1612.444405907993,1273.9442794511097,1519.4879948169623,61.24040025942637,60.8539467492549,5.246798957065114,54.133753878007816,77.0514525306575,55.23120117380027,66.39436843850831,2.301799761030985,2.302031497106518,0.011031046482699756,2.2774205892361223,2.3200355658756875,2.2882351456596974,2.3172262171817954
90,0,500,49.85,50.5,2.2307657406087453,46,53,47,52.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.0481,46.156,1.4774346864181769,42.406,48.894,44.555600000000005,47.4456,20,20,0,20,20,20,20,6.3599932771609815,6.32885714643336,0.590627957050445,5.384004086179736,7.191527236964336,5.648209007336906,7.010313860690124,0.5543742285737336,0.5540507728897267,0.018479925445653994,0.5247162582203226,0.5976519283799115,0.5285715251903556,0.5750571170166253,0.6507655779897604,0.6552980533390609,0.026561196614305015,0.594295851523345,0.7076585399994638,0.6243997615989983,0.6741691370749094,87.75,87,6.264982043070834,79,103,79.9,94.30000000000001,57.9,58,5.90182844103151,48,72,52.5,65.2,1.1141345623330916,1.087121212121212,0.23576205324567867,0.7647058823529411,1.5454545454545454,0.8098214285714285,1.4454545454545453,0.7988497751675694,0.8005409136725681,0.01317116272407086,0.7785262975531081,0.8242888329521532,0.7812608862008665,0.8158807173913204,1343.0821494858462,1336.233021308121,74.87947532487738,1228.5600845572164,1477.0542433773621,1241.7400551924031,1467.1423096938772,67.15795243727847,65.31280577264923,5.750435221604666,59.094959375921434,79.52229672832681,60.36048523833626,74.9134251481794,2.3049342997005686,2.30839222043519,0.010580568625771364,2.276011346993676,2.318006076858778,2.2956974376971186,2.3155902787402303
120,0,500,49.2,48,2.261811104775156,45,54,47,52,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.5493,46.209999999999994,1.8460564255503646,40.478,48,42.9452,46.995400000000004,20,20,0,20,20,20,20,6.507143301682501,6.352986871725744,0.587346800960491,5.399739252963983,7.88505015836932,5.878592569702103,7.0826621493305755,0.5534180099251607,0.5577098956451617,0.021502230627846425,0.5182252640482625,0.5818009973289571,0.5221229371153284,0.5806474794154368,0.6478446166036941,0.6467910350812656,0.027480897941810512,0.5929529956765567,0.6966375375903125,0.6103641092787802,0.6765260929821981,90.05,89.5,8.899881726002997,72,105,80.69999999999999,102.2,60.85,62,8.797577417735672,45,78,50,72.2,1.059159500630089,1.0357142857142856,0.17894199692322918,0.7333333333333333,1.5714285714285714,0.8888888888888888,1.2178571428571427,0.7983622112830158,0.7942683235406381,0.019770978801154974,0.7639795805275391,0.8386947174036241,0.7777038714161801,0.8230618976156754,1352.07529455974,1347.6668322520081,118.48815392330107,1157.5228160367265,1616.540040616052,1225.4184946873813,1473.8750330885707,64.63146931735668,63.66139326398535,6.954802251369946,47.66570213108542,77.33556526864682,58.63366211613346,72.92963092384508,2.3044823021398253,2.306589627897142,0.010027753184006536,2.2839355548194265,2.318006076858778,2.289077533336482,2.316610095411299
150,0,500,49.55,50,1.7614288458371992,46,53,47,51.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,46.08590000000001,46.019999999999996,1.3618135702070238,44.214,48.796,44.3956,47.869800000000005,20,20,0,20,20,20,20,6.495350560590436,6.537802579395134,0.4893958628408542,5.376391354802968,7.361419428343968,5.93867960498158,7.171079330316493,0.5536765510519019,0.5567359091846519,0.01732921284923905,0.5096720351028315,0.5878283932691896,0.5367141828381747,0.571464177435074,0.6633729637744594,0.6629187730181088,0.02650097602103379,0.6210055655087374,0.7164700561635907,0.6302930535519481,0.7006395136369191,89.6,90.5,5.734475610403779,76,98,84.30000000000001,96.1,60.05,60,6.236353522945752,48,72,52.5,67,1.0791151304405946,1.10989010989011,0.16803640079772658,0.7368421052631579,1.3636363636363635,0.8791666666666667,1.2583333333333335,0.8011728778536863,0.8001224831070164,0.013616755386968831,0.7768999825973842,0.8266643741656174,0.786577034133309,0.8187128886209721,1354.4171664120263,1346.277492585014,85.44350038747086,1227.8171143408483,1521.1026047170494,1243.2259911283,1476.5977458959408,66.131663775321,64.95179599520449,6.164788994667449,58.996790646116786,77.7650789048936,59.42911527754242,74.40327853062135,2.3042208077096964,2.3073697183376067,0.015585889228336116,2.2465945962225176,2.3200355658756875,2.2959652084905313,2.3152315798059733
180,0,500,49.9,50,2.1980852911951394,47,53,47,53,0,0,0,0,0,0,0,500,500,0,500,500,500,500,45.88669999999999,45.935,1.528223774603431,43.324,48.936,43.85119999999999,47.4334,20,20,0,20,20,20,20,6.57052708730443,6.666854622687561,0.6935358640586498,5.038642277439442,7.975832244976092,5.828549716095885,7.320887426064611,0.5491698912914433,0.5465642798465122,0.012146830658955441,0.5291208958378896,0.5744337904603074,0.5327469191756337,0.563551733572436,0.6601210935704234,0.6576252071051787,0.029901737525324865,0.6107924505222173,0.7184741030488919,0.6294711662842837,0.6984835675613528,87.95,88,6.8015091204665366,75,102,79,95.19999999999999,58.05,57.5,6.916608539176591,43,69,50,66.2,1.13477489830431,1.0741758241758241,0.21471389988388448,0.8333333333333334,1.625,0.9333333333333333,1.4311688311688313,0.8034806749487318,0.8005946723569439,0.011507012373124544,0.7808919230626732,0.8223963101981369,0.7932409291473417,0.8182424967988218,1360.861103548542,1357.3792259839897,84.15015931515005,1204.7702846868824,1516.6623269081567,1271.1055085481246,1473.2039304781779,65.78271492155997,66.27655865364858,5.995451318323289,55.11588005862603,79.80576603736976,58.26191998132718,71.97909712726748,2.303318026590227,2.3083877157172257,0.015527293818308282,2.2579034608339974,2.3178113757536236,2.2876257291368898,2.3161892926299483
