parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,29.6,30,0.8825799501580877,28,31,28,30.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,30.2968,30.287,0.27542074989674287,29.916,31.078,30.0018,30.582,20,20,0,20,20,20,20,0.566228936159273,0.5678299563363528,0.021845026113363995,0.519143459971835,0.6062022888871359,0.5438646799553575,0.5887115569547964,0.496819631324672,0.500338663340424,0.051639114929218494,0.3983011909664336,0.6024671262701288,0.43399574946045427,0.555699261461184,27.2,28,2.8580449703655084,22,32,24,31,17.6,18,3.0504529430716905,13,23,14,21.1,0.001919613444261861,0.00018836533413559638,0.0054023696097154905,0.0001654737898747353,0.023727856994909754,0.00017323094767839547,0.005619901643774523,9.478451868285116,0.8122817633825321,17.214877728316733,0.7561958488936711,61.951794886944725,0.7561958488936711,23.307465253756394,0.8126785714285717,0.8,0.17085250038746932,0.5,1.1666666666666667,0.6625,1.0166666666666668,6121.981527028018,6030.600245957215,1554.6472391381603,3521.2105133366654,10062.792855140528,4570.859644642794,7608.043545824969,0.3512559105772801,0.3418227006119595,0.04140457498336552,0.28861808439558595,0.4517610253229215,0.30345561542780863,0.3889635422784564,0.34408438592686935,0.34173618037797393,0.1398946843322387,0.08017499497349723,0.6187477319417282,0.17228520869537683,0.5405046985742775,0.5136084854659967,0.5195402854366766,0.026578847218902427,0.4639238213171244,0.5608629943631166,0.4684948337440217,0.5385266550792474,0.6037120364639738,0.613645020254604,0.03679278590873164,0.5390832083700361,0.6642461164082245,0.5573388164199398,0.6437133074581175,0.3702008051942701,0.3649193548387097,0.13054709717598886,0.14814814814814814,0.6875,0.20406403940886697,0.5041666666666668,0.4148898258342665,0.4444444444444444,0.10379485398307259,0.23076923076923078,0.5652173913043478,0.2857142857142857,0.525974025974026,0.12070000000000003,0.088,0.12459158542170791,0,0.456,0,0.2584
60,0,500,53.2,53,1.9628121608924705,49,56,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,50.5507,51.107,1.419145076223153,46.64,51.858,48.812799999999996,51.8236,20,20,0,20,20,20,20,0.563329879575224,0.5620088022330127,0.017663027176562526,0.5334512454861686,0.5938499107698786,0.5434485932909182,0.5891719354014028,0.6172849216452132,0.614454753755017,0.023893101298260028,0.5727981222847419,0.6638309834340137,0.5908052247016387,0.6469612388838032,80.5,79.5,5.7077970679081655,73,96,73.9,86,47.3,47,5.858866425297105,40,64,40,52.1,0.00029528756870509504,0.0002905571212110472,0.000020220104404011897,0.000265231106360738,0.0003356745280915057,0.00027149631384931067,0.00031524003021407364,2.1288705862644894,0.7561958488936711,3.2771438158440795,0.7561958488936711,13.342575016705824,0.7561958488936711,5.02036919967881,0.8564961427461426,0.8541666666666667,0.23976863787350225,0.5,1.25,0.5346153846153846,1.2022222222222223,2212.0671279196285,2278.444325018219,357.19906084649386,1535.6282523085372,2831.1331081472563,1661.436932210799,2612.293495282839,0.5684199154881432,0.5664545445605853,0.021072560366614448,0.5400777991650506,0.6100142011714991,0.5439385373332755,0.6055018991302246,0.5218432841115123,0.5164452314929604,0.056471404901093696,0.4072118515934581,0.6208182115895138,0.4595854520160149,0.5945457974520431,0.5548889566726715,0.557884918728603,0.017791468993139242,0.5211644267936754,0.5869924892841066,0.5293509351428578,0.5790769969755929,0.6662526687303875,0.6681436294361426,0.025215631090902205,0.610028457491586,0.7057655831670239,0.643462564115118,0.6976545494816266,0.8344748919647001,0.8280844155844156,0.039684038762104266,0.7790697674418605,0.8961038961038961,0.7834875971862274,0.8908028455284552,0.7254440753083732,0.7291666666666666,0.034633866620948826,0.675,0.8125,0.675,0.7561683599419449,0.6045,0.619,0.1350693778844978,0.288,0.778,0.46180000000000004,0.7598
90,0,500,54.45,55,1.9594574974238472,50,56,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,52.7442,52.823,1.3110808558309113,48.646,54.236,51.5322,54.0478,20,20,0,20,20,20,20,0.5635157359856342,0.5642479747118547,0.013026451519835034,0.5403825186879407,0.5894563642024773,0.5429437491716159,0.5789895051367291,0.6385465188671596,0.6358704038838421,0.028882160608384066,0.570387533156855,0.7057555364963676,0.6157165590537859,0.6687964790237599,86.65,85.5,4.579990806701875,78,98,82.9,92,52.2,51,5.327189443639211,43,67,47.9,58.2,0.000309682249210277,0.00030275102278997447,0.000021580487576506208,0.0002842221255574669,0.000361506427636423,0.00028888142130185685,0.0003378994513754842,1.5419871887618377,0.7561958488936711,3.5141657041517216,0.7561958488936711,16.472022646256995,0.7561958488936711,0.7561958488936711,0.8079208169281697,0.8153409090909092,0.15111007251999656,0.5625,1.1,0.59625,1,2140.38923366441,2087.772455371078,474.8976705981362,1508.9869605342071,3655.9385527594072,1731.1911007125977,2479.567308657969,0.5856623448804457,0.5907031188995744,0.021626969397599238,0.5386620736710708,0.6289216643284216,0.5570046258304227,0.6072155981967632,0.5458641300642979,0.5471589552082825,0.05136031437171951,0.45679430378173647,0.6973324595549121,0.48543992943678876,0.5893205870323848,0.5530318567698125,0.5499040760726084,0.019032911383189476,0.5248391912065699,0.5954122930621947,0.5325692620032569,0.5771158896160516,0.6807248149161478,0.6924593139208441,0.03337663840416449,0.6246377417365709,0.7284404354864186,0.6337400200663494,0.7156045598187825,0.8664102214293166,0.8682587492828457,0.022506977787512122,0.8202247191011236,0.9222222222222223,0.8406504065040651,0.8880330310004061,0.7486497567360673,0.7450980392156863,0.024056371711420176,0.6976744186046512,0.8059701492537313,0.7285904255319149,0.7766091954022989,0.5455000000000001,0.548,0.09748603138803773,0.33,0.752,0.4576,0.6554000000000001
120,0,500,54.8,54.5,1.3611140947574414,52,57,53.9,57,0,0,0,0,0,0,0,500,500,0,500,500,500,500,53.01519999999999,53.117999999999995,0.9360731865224622,50.55,54.278,52.0284,53.94859999999999,20,20,0,20,20,20,20,0.5601159254685443,0.5589755939944094,0.02022679036562536,0.532693605609774,0.5983763734823897,0.5371319197525825,0.5910206882148807,0.6155766031300093,0.6146996888723691,0.025699793829570928,0.5697403050518753,0.6655776038887122,0.5799555569793086,0.6448409626292924,87.45,88,4.019361038510318,80,96,82,91.1,52.65,52,4.579990806701875,44,62,46.9,58,0.0004272245521535041,0.0003000236664242367,0.0005603829427476642,0.0002826936783456683,0.0028072083858391383,0.0002879465260205695,0.0003318262201402364,5.277490010530674,0.7561958488936711,10.143446543207785,0.7561958488936711,33.08165899948221,0.7561958488936711,22.44568091380682,0.8799520618270618,0.8833333333333333,0.20804970253067678,0.5625,1.2307692307692308,0.631060606060606,1.150793650793651,2088.434556538334,2118.980923907234,170.58191911922253,1819.1645538634282,2353.279562784258,1846.931944367866,2295.172216117573,0.5738144806665205,0.5726407455028597,0.016136675844388843,0.5393221906931963,0.5982454157481898,0.5482989962828912,0.5954061471281779,0.49742122182778487,0.5003976812306318,0.03703640356561638,0.4269874415975065,0.5625500350880109,0.4466014724041185,0.5398740638346124,0.5430964850037002,0.5387316378356474,0.019551401584000587,0.5108226768829317,0.5828494888314172,0.5224241230938356,0.5691857899855065,0.6720069572658265,0.6741735735947105,0.02608905780568749,0.6233713457943484,0.7151978606249406,0.6431620580134557,0.7057174908959376,0.877897959801173,0.8843892007484631,0.019467753352787068,0.8409090909090909,0.90625,0.8532452081956378,0.9012064022933589,0.7520902372243856,0.75,0.023665267585512365,0.7045454545454546,0.8064516129032258,0.7228029602220167,0.7758620689655172,0.5368999999999999,0.52,0.09590450294021927,0.41,0.722,0.4236,0.6702
150,0,500,55.65,56,1.3088765773505318,52,58,54,57,0,0,0,0,0,0,0,500,500,0,500,500,500,500,53.204100000000004,53.397000000000006,0.9005727943341039,51.112,54.634,51.7438,54.162600000000005,20,20,0,20,20,20,20,0.5601214309188564,0.5597444905266313,0.010526235082484299,0.5435012824977496,0.5769449276971846,0.5487787297710959,0.5729323617066896,0.6283085166494525,0.6280036423020138,0.021505715566980815,0.5936525496168497,0.6749656873540961,0.6018155092492439,0.6531336377402192,88.1,87.5,5.087652752135879,78,97,83,94.2,52.45,52.5,5.689093906210743,42,65,47,58.2,0.0003093467505781166,0.0003056789551414542,0.00001872276818661843,0.00028558707853187584,0.0003628877226308139,0.0002866672612051147,0.0003264148922013453,0.7828481482693542,0.7561958488936711,0.11919270632140465,0.7561958488936711,1.2892418364073304,0.7561958488936711,0.7561958488936711,0.9011877705627706,0.8666666666666667,0.23923041702004286,0.6363636363636364,1.7142857142857142,0.6966666666666665,1.0931818181818183,2032.8789829984216,1982.6197253690111,324.6506950505502,1573.1499795294314,3106.36765201427,1778.47324585024,2281.7733971548273,0.5789519501008249,0.5782061862747729,0.01752034298387669,0.533809510203969,0.6071504226957332,0.560077591174155,0.6046747104626301,0.5199710078437152,0.5278643036454089,0.046812477086494934,0.4600325699504578,0.609289661028062,0.4635360312207282,0.5712613706804572,0.5486481529168101,0.5486371958489321,0.01361733228591122,0.5229254218535715,0.5712613416157225,0.5342458747875833,0.5674335629737547,0.6858146811532745,0.6783959463075132,0.023887197857068977,0.6500744846502758,0.7392198772924047,0.6608573183674675,0.7110949063942794,0.8728559730564411,0.8723404255319149,0.030322223912885884,0.8068181818181818,0.9285714285714286,0.8388933440256615,0.916804718875502,0.7493837358623432,0.7523584905660378,0.027008149817433554,0.6904761904761905,0.8,0.723404255319149,0.7766091954022989,0.5671,0.5660000000000001,0.08470251347789912,0.396,0.706,0.45680000000000004,0.67
180,0,500,54.8,55,1.1964860832322382,53,57,53,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,53.3221,53.556,1.0313693452472732,51.01,54.72,52.2624,54.553999999999995,20,20,0,20,20,20,20,0.5670318192188925,0.563610921674828,0.017710672050112647,0.5379922993502922,0.6011159191813392,0.5434370890132877,0.587266840025804,0.6221605788852014,0.6257933453451998,0.02143262936652227,0.5770910926496454,0.6738308551452271,0.5962530176691081,0.6365550075070506,88.8,87.5,6.993229808743219,75,104,82.80000000000001,96.5,54,52.5,7.189173146218958,39,70,47,61.400000000000006,0.0006978177075618798,0.0003047981907128962,0.0017414821736445468,0.0002809473975420304,0.008096049622962932,0.0002886521591222718,0.00034852697114289786,1.82030340294736,0.7561958488936711,2.633987265369196,0.7561958488936711,11.961715988563064,0.7561958488936711,3.4125014116507035,0.8157114976097175,0.8153409090909092,0.17806523941878816,0.45454545454545453,1.3333333333333333,0.636904761904762,0.9470588235294118,2035.8360404998207,2056.647306707183,240.3352060361213,1369.0379368038225,2475.258705507627,1826.5414470624548,2338.2582551852647,0.5795446965239316,0.5787060315438588,0.016930669673632277,0.5550433016158508,0.6351517223421705,0.5591869664554455,0.590811685850587,0.5165371000327803,0.518481057017804,0.03631442049759361,0.45103647846101125,0.5765875287699147,0.4785698698369477,0.5659692724031503,0.5468743841825903,0.5479933893031934,0.011289742640346982,0.5174112580515714,0.5644127942757999,0.5366930311693368,0.5606621401363409,0.6830962363622972,0.6867126214389696,0.018948850823631604,0.651965623783556,0.708694004465144,0.6568514826969803,0.705743927968097,0.8739428571928667,0.8806192511983417,0.025640591178299716,0.8266666666666667,0.9111111111111111,0.8275436355896125,0.9038870703764321,0.7560380749620061,0.7523584905660378,0.03374384800014969,0.6666666666666666,0.8142857142857143,0.723404255319149,0.7881967213114754,0.5510999999999999,0.571,0.0973122483771212,0.29,0.694,0.4444,0.6424
