parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,7.85,8,1.3484884325167863,6,10,6,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.828,12.828,0.6964747322276515,11.676,14.534,12.0308,13.5124,5.45,5,1.1459310165698642,4,8,4,7,0.5163411485035454,0.5095774132568123,0.04936674602273415,0.4398194314917348,0.6039293529892447,0.4584979860162903,0.5818441438665657,0.573070069357734,0.6037334718085747,0.12141282323629943,0.30042861708569285,0.7538027885144546,0.3949745003010757,0.7106605420068233,13.15,13,2.007223796297028,10,18,10.9,16.1,25.3,25,2.4083189157584592,21,30,22,27.300000000000004,0.5625368638974858,0.5391157812061826,0.09215451701899344,0.43460669563479465,0.7965505202214228,0.4721570773630139,0.6802396917645742,730.4401036783561,728.4658290106513,120.59926789894202,508.3378406407596,1009.7563048976408,610.3151762724796,917.3674653177561,1.6141666666666665,1.5,0.5173954961296093,1,3,1,2.0500000000000007,6837.1844724809225,7087.360477274859,3005.086902879025,913.4836504762523,12273.482463622277,2579.3499012930365,10026.476144736773,0.37731905214165073,0.36720082585718805,0.11103429401370489,0.24749619902872402,0.6676083677678673,0.25437487156059885,0.5235484743948967,0.41675305769403026,0.4050414480872273,0.5008421671922244,-0.5338935199427488,1,-0.2983759609631567,1,0.4889103197412517,0.4747156831404463,0.054466696206216046,0.403721334945656,0.5747008539256349,0.42982042941674936,0.561316028472048,0.7897483914494146,0.7892001606315493,0.046645358093422525,0.7168796193081565,0.866086986389291,0.7298062158846224,0.8428178639467241,0.9712728937728938,1,0.05706269665705285,0.8,1,0.9107142857142857,1,0.8740276691907128,0.88,0.02205620390156008,0.8181818181818182,0.9,0.8441471571906354,0.89,0.21990000000000004,0.217,0.1386589530580622,0.036,0.55,0.058,0.36760000000000004
60,0,500,7.55,8,2.327750212679956,3,11,4.9,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.609300000000001,12.943999999999999,1.069936402438555,10.752,14.032,11.2544,13.804400000000001,5.3,6,1.719853114903161,3,8,3,7.100000000000001,0.5107241908750362,0.5074161404201188,0.052642801295566706,0.4252235453454774,0.6016281045426703,0.4488966147961627,0.5757108826184822,0.5492962147687229,0.5529579898708048,0.14175087244342338,0.2581806517343452,0.7667179639950487,0.36547366204537374,0.735443020464536,13.1,14,2.8078836383147703,4,17,11,16.1,25.55,25.5,3.017056774233353,21,32,22,29,0.6064738343476335,0.6257398982337705,0.09247351599293213,0.4593406964886326,0.7622636730321994,0.4742779431229639,0.7230661786942394,787.66460624474,756.3801672023153,312.14033503078167,550.4248530305874,2035.182234547019,575.2673924025216,838.7011311190304,1.3508333333333333,1.25,0.39623502240773234,0.6,2,1,2,9207.207845025307,5153.57060914609,17879.569710797354,1363.6970914450328,84156.47768829255,1607.3270731958733,9519.026378883515,0.4234777539444899,0.4081113616419493,0.15171898500464684,0.24919726946628185,0.8490059327594469,0.2853492682653013,0.5933525362591233,0.40995687030264055,0.46043744758847194,0.49726294541476573,-0.4605400878930079,1,-0.2631693625850148,1,0.4770099777231781,0.47860991548192955,0.05741385520805941,0.36422295956290407,0.5607971281399128,0.39009955843784816,0.5416327874048061,0.7934265947088783,0.7893789679093957,0.04352783903048519,0.7136582526043943,0.8839182961833288,0.7501606373757549,0.8614291598666565,0.9048726763432647,1,0.17946741034734026,0.25,1,0.7738095238095237,1,0.8787576742244096,0.8823076923076922,0.01951346461089673,0.8181818181818182,0.90625,0.8629870129870131,0.896551724137931,0.19049999999999997,0.125,0.1732972803260947,0.036,0.728,0.0558,0.38160000000000016
90,0,500,8.6,8,1.187655806953123,7,10,7,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,13.0893,12.928,0.6811857386398484,11.57,14.374,12.4792,13.9394,5.75,6,0.9665456669582609,4,7,4.9,7,0.5156352060510445,0.505911072046624,0.03840702599936507,0.4630691799495502,0.6109836804516569,0.4781079078745698,0.5672468428644202,0.6111739528113185,0.6291533827194321,0.09500831786029566,0.4336366658264438,0.7524170224217094,0.5055848635317928,0.7352958668130436,13.05,13,1.3945382182304158,10,16,11,14.100000000000001,24.45,25,1.79105966869954,21,27,21.900000000000002,26,0.5775783528109703,0.5705808262633097,0.08763758308647501,0.426230370290382,0.764344609071958,0.4703286470174735,0.6762480165841852,731.884311643877,703.2639260787191,121.36195198158596,564.1319550369363,1012.7577213065658,614.6548846586561,887.7092994227487,1.75,1.5,0.701918840379379,1,4,1,2.1000000000000014,6141.750107057485,5677.669262404031,2572.4657209640773,593.8979580869634,10586.093214947316,3134.711341869788,9356.339524447601,0.41175939193635996,0.367568974948558,0.1101510022667944,0.29144297366597355,0.6191231151482868,0.3040709651777024,0.5810371704865099,0.47535928584441595,0.5281146837899897,0.41598739503411014,-0.5126882320684087,1,0.047390564218073,1,0.4924867949217481,0.48138329972592586,0.04719864562042575,0.40781135847522826,0.5986569198498913,0.435377537384837,0.5491569311993869,0.7809035787258826,0.7814217559197176,0.04336251082152163,0.7104269940648164,0.8706099485467548,0.7327859103613895,0.8420407496750433,0.9771657509157509,1,0.04177671625455221,0.875,1,0.9149999999999999,1,0.8742597631836764,0.88,0.01736282092728535,0.8095238095238095,0.8888888888888888,0.8629870129870131,0.8846153846153846,0.19189999999999996,0.172,0.15056591492380375,0.05,0.74,0.063,0.2716000000000001
120,0,500,7.45,7,1.6375527311718607,4,10,5.8999999999999995,9,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.6519,12.545,0.7756549626300548,11.112,13.888,11.7864,13.646,5.35,5,1.3869694338832113,3,7,3.9000000000000004,7,0.5049251935763389,0.5077068684722681,0.0446697080989735,0.4277512052892937,0.5866245140123212,0.4356746620559203,0.5547318017560674,0.5364034857207232,0.566135348996307,0.12639098543581978,0.2861228688873424,0.6805951460814991,0.34983099153084496,0.6762775361516543,12.95,13.5,2.5230516193063135,7,16,9.9,16,25.5,26,3,19,30,21.900000000000002,29.1,0.5414920999887562,0.5315707973330079,0.05273658631531145,0.45195541045041887,0.6388128659325897,0.4794691868050412,0.6202952613012152,742.9834825827518,686.9628496402364,202.22419949931074,520.3350362323156,1405.4685815574137,535.0319105395099,942.2802915560302,1.67,1.5,0.66849748607522,1,3,1,3,7588.1287361835375,7810.73099806121,3126.064312182093,2091.5612189601097,15669.164555558338,4109.860472299524,10355.050617267303,0.36804343517391647,0.3720707603752397,0.08746909708093761,0.23233738217141614,0.5847026834573517,0.27697271824824393,0.4779399978511051,0.31858515146482025,0.25608254667879743,0.48174006725658575,-0.4296635986302163,1,-0.2456102848963333,1,0.47383473298027895,0.49001948402594653,0.060444013534815925,0.36439108689019756,0.5883659991643637,0.37879990941230485,0.5363560393845153,0.7839004755220337,0.779261182653139,0.03342492228335162,0.7361048599705148,0.8812247219111315,0.7524006928037331,0.8284005536840496,0.9063399794649796,1,0.1591174230971912,0.4444444444444444,1,0.7116883116883117,1,0.8806816235374784,0.8846153846153846,0.015099346894465909,0.8421052631578947,0.9,0.8629870129870131,0.896896551724138,0.19360000000000002,0.179,0.13154883023745254,0.048,0.62,0.0614,0.30600000000000016
150,0,500,8.25,9,1.8317377426626162,4,11,5.8999999999999995,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.962100000000001,13.138,0.8548298630352372,11.262,14.644,11.708400000000001,13.817800000000002,5.35,5,1.1367080817685316,3,8,4,6.100000000000001,0.5094875292852348,0.5301801900781834,0.048780858062615035,0.3910193478773544,0.5836540462820279,0.45108668403960983,0.5545544631517114,0.592616992861312,0.6177726626606814,0.11644858664053317,0.2957764706528572,0.7912722977733375,0.44548376437171944,0.6978660659998056,11.9,12,2.04939015319192,7,16,9.9,14,23.65,23,2.5603248149199227,20,30,20.9,27,0.5676536591453092,0.5705024363444884,0.0796013984915706,0.4378547381083764,0.7503436387325704,0.47719686183572047,0.6444654404639916,788.7215815152583,745.9202856992972,153.16418296328087,584.3522487897858,1139.6136971084536,661.886323293365,1082.3087577643485,1.4875,1.5,0.3901894501617693,1,2,1,2,7503.461102013243,7652.425977724593,2792.109327263844,993.9925651542334,12843.734806759554,4863.170288143268,10495.268168388566,0.409464072203071,0.3647926761742003,0.1222075378140237,0.2702427049699842,0.6728123379081344,0.2999674741811808,0.5977676159975238,0.5337956817928979,0.5137597399972996,0.36923821171307286,-0.04926109147692367,1,0.05039481898026201,1,0.4839079312098251,0.4853150913276616,0.05737945443074875,0.34585908508720964,0.5753426165942591,0.4372172336291095,0.5498337582351357,0.771380274678049,0.7649834601377143,0.037921929682781644,0.7162819882471381,0.8705879676901698,0.7317068593831328,0.8098579462307377,0.9368641774891774,1,0.1436212160037566,0.45454545454545453,1,0.7142857142857144,1,0.8630967896837461,0.866600790513834,0.02711606942070633,0.782608695652174,0.9,0.8260869565217391,0.8888888888888888,0.18000000000000002,0.14200000000000002,0.13132522906689972,0.036,0.568,0.0584,0.3864
180,0,500,8.65,9,1.4608937423083819,6,11,7,10.100000000000001,0,0,0,0,0,0,0,500,500,0,500,500,500,500,13.1637,13.053,0.8811827637657779,11.686,15.304,12.092,14.1404,5.75,6,1.0699237552766379,4,8,4.9,7,0.5165679379425139,0.5160243250782646,0.03617896343344649,0.4608279534949523,0.5937274161875473,0.47254047918738457,0.5603080096982154,0.6327470995798208,0.6270800930180327,0.11873804211632193,0.27697367346052,0.8275504744856832,0.5319661855300082,0.7544336455558728,12.85,12.5,2.007223796297028,9,17,10.9,15.100000000000001,24.2,24,2.261811104775156,20,29,21.900000000000002,28,0.5921134218317459,0.6001020955556833,0.09402815016594977,0.4369604532776887,0.8090878467500199,0.4786170538557764,0.6777212987837435,778.2938509421208,738.4997510987182,136.10448408555072,584.5816688640655,1104.8208113842713,632.7697097953987,961.0086514711114,1.5416666666666665,1.5,0.42620657759310304,1,2.5,1,2,6938.292751895069,7975.683559791645,3333.8459043599164,779.0352704283189,11634.495484555402,2028.0565151334617,10161.535031635623,0.43646416559007345,0.3979326385764992,0.15532782483860033,0.22390919691486677,0.8414256907130127,0.28839700654391986,0.6485739298587127,0.6743316072766913,0.900593373356978,0.40042169714263076,0.037735464024043396,1,0.039071626414790415,1,0.5071518324770733,0.4882476841851405,0.05921156818138857,0.3773521367774111,0.6068592674659438,0.44851396171752267,0.5760777343376184,0.8014492201362786,0.7958212419091524,0.039664818292663,0.7445350842309916,0.8969847677030344,0.7631071641472729,0.8556914345094371,0.9858169404125287,1,0.029655724266342505,0.9090909090909091,1,0.9366071428571429,1,0.862049494733153,0.875,0.032877568588966705,0.7727272727272727,0.896551724137931,0.822644927536232,0.8928571428571429,0.1802,0.137,0.12259801664060689,0.046,0.53,0.0594,0.34740000000000004
