parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.2,0,500,52.75,53,2.173403830521681,49,57,50,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5472334071782083,0.5514068881053473,0.041400713050534034,0.46628413119920414,0.6184448672892656,0.4963842086707851,0.5896014757898307,0.5430510871962178,0.5449650121516842,0.01697349059570538,0.5051344849764365,0.5778120198292467,0.5241216941248868,0.5582811542377601,0.004462005516808061,0.0008190837335650123,0.01432250636107769,0.0007811372953719435,0.0647218806978928,0.0007905481696809041,0.0017624028321062165,48.3866,48.501000000000005,1.5357138028325874,45.854,51.808,46.409200000000006,49.898799999999994,6.6544518891928375,6.628598528367238,0.4194162038104618,5.88619945295774,7.634631621761445,6.172952327107988,7.179786365447512,74.15,74,4.4399502130921285,67,81,68.9,80.1,41.4,42.5,4.8384425506343955,34,50,34.9,46.2,2.3159450842623617,2.316170215047184,0.005044223736653866,2.3052186183495516,2.321928094887362,2.30908563522039,2.321928094887362
0.30000000000000004,0,500,54.15,55,2.4553914898486253,47,58,51,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5526408616224124,0.5523108986905673,0.039557626009694744,0.484824683962472,0.6519434885713189,0.4988921729615662,0.5930032599303123,0.5379461964922652,0.5409651641347804,0.02221588878212163,0.49428674874837536,0.58132380225351,0.5109461865993672,0.5622433983203161,0.0008266218205342662,0.0008115287015444453,0.00004052653078014394,0.0007868665780087112,0.0009157004992759145,0.0007920239603154233,0.0009095161573536992,49.0055,49.051,1.8910460346758238,42.492,51.812,47.8134,51.004599999999996,6.79149973500939,6.980464875825771,0.7157982289704784,4.091202268282507,7.407293702830996,6.191187609195469,7.301560961668873,77.2,77.5,9.023944755336682,54,102,69.89999999999999,84.1,43.05,42,9.02321567140183,27,71,35.800000000000004,52.1,2.3161311627712453,2.318487362970475,0.005054952837833078,2.2994612250824606,2.3208396243145395,2.311384523986775,2.3196701239617843
0.4,0,500,53.05,53,2.282081229238369,49,58,50,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5310371588719979,0.5315462554095141,0.024580177184980158,0.4827394001474248,0.5794210467656166,0.498728608274932,0.5580387226787725,0.5418214340852157,0.5425037406504075,0.020606654767292683,0.49703447390795646,0.5838431489516728,0.5173910893170883,0.5623906476900766,0.0008143287340473884,0.0008169899417593974,0.00001933124062437603,0.0007689747668050286,0.0008532528972481881,0.0007965290474825724,0.0008311793305635801,48.924299999999995,49.422,1.8807086318445865,45.212,51.9,46.211999999999996,50.827,6.689758152725124,6.823732112363272,0.5801031288057098,5.58471163087226,8.225945295222896,6.023088006825448,7.132700863637739,74.7,75,5.36165724576391,64,84,68,80.30000000000001,41.65,43,5.284286537511598,33,50,34,48,2.3155048009339767,2.3182467199146264,0.006042036857851356,2.300851630249011,2.3209194990354183,2.3071147880427363,2.320839624314539
0.5,0,500,53.35,54,2.2774639635487453,48,56,50.8,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.559852036636265,0.5538770782769812,0.025949101107010847,0.516153270699602,0.6157708576303152,0.53550169123935,0.5908920675602385,0.5452218643713741,0.5397172577681691,0.02162301227025075,0.5090364462513536,0.5885320504532882,0.5234376682552488,0.5699313091264067,0.002171975820820955,0.0008135091672485681,0.006071339436143422,0.0007616960233848967,0.02796600698593151,0.0007910238472193828,0.0008589617478045953,48.6922,49.025000000000006,2.3193101424436753,44.906,52.046,45.264199999999995,51.2834,6.619765600572822,6.676878118166682,0.44334018478474096,5.591440243801252,7.371244399692615,6.106493536040799,7.134105362675699,79.15,79,7.314549307985242,60,90,71.8,87.1,45.8,46,7.112627762241641,28,55,37.9,55,2.315024939203735,2.316920676191974,0.00475588683916493,2.3016597741703015,2.3208396243145395,2.3098379733491106,2.3186723322247644
0.6,0,500,53.65,54,2.3680993933621335,48,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5760784570912529,0.570252520554232,0.021921696724844786,0.5470302470516201,0.6250857683344093,0.5507178938619196,0.5971609737504986,0.5474893379019337,0.542779909247501,0.021359608186294336,0.5156986251627641,0.5950692154200784,0.5219127113472781,0.5711848348742715,0.000989483828911902,0.0008163315256611674,0.0007637758238803751,0.0007843920973500242,0.004232473143127888,0.0007895715060127372,0.000859956895986016,48.84689999999999,49.166,1.4940732702388138,46.162,51.052,46.4632,50.525999999999996,6.9267986345001376,6.920616092566248,0.5390819458135558,5.925523099271495,7.941017315180723,6.234981026847783,7.575818542037951,83.8,84,5.549774770204643,73,93,77.60000000000001,91.1,50.15,51.5,5.499042978938292,38,58,42.599999999999994,55.2,2.3151455261130875,2.3179525047649037,0.007272516493687372,2.2942244439548625,2.3209194990354183,2.3040476221838846,2.3204232247175733
0.7,0,500,53.05,53,1.7614288458371992,50,56,50.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.6373229722811924,0.6354019771905282,0.016040906709488077,0.6087288551558462,0.6654419992179211,0.6175932588144695,0.6577408460768225,0.5483555042889527,0.5535101536033626,0.019163167245004616,0.5089509172427594,0.5819525243319733,0.521101457227891,0.5678576262755396,0.0008019128460242005,0.0007945310945055619,0.000028122416172394374,0.000758036440417461,0.0008632883042819893,0.0007775219101516063,0.0008375608682425185,49.3532,49.316,1.9268331695188088,45.406,52.188,47.2784,51.6864,7.020631117938633,7.0429278894259575,0.418439086721672,6.228736950618477,7.761050186669301,6.573501068560806,7.456096330753697,86.75,87.5,6.077352262812794,76,96,77.9,93,53.7,55,6.448990129021018,42,63,44.800000000000004,61.1,2.313498921489206,2.316481749443369,0.00784260332107639,2.292150412300147,2.3210238286880513,2.304198171761602,2.3203410457716047
0.7999999999999999,0,500,52.2,52,2.092593455122388,49,57,50,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.7137510911103478,0.7160610070563329,0.012394363558284398,0.6849038530892092,0.728734313857251,0.6949197819996076,0.7252656331562584,0.5493684389670135,0.5479773812145305,0.016594970639027786,0.5232014542885053,0.5848843696650176,0.5277941044995206,0.5719476470989295,0.0022019865828117814,0.0008095631428524526,0.004653966169978846,0.0007612117742198883,0.02120398398281211,0.0007803036181433656,0.0031319299309494255,48.803700000000006,49.086,1.6025652166711384,43.348,50.63,47.952400000000004,50.146,7.014291018025743,6.997086924631047,0.3902540528038281,6.183551083317736,7.558762861738653,6.529367788927595,7.470508632287315,90.45,89.5,9.081357422300862,72,110,81.8,101.4,58.25,58.5,9.106822196920053,43,79,46.8,68.60000000000001,2.3126189503006875,2.31442929062497,0.008630036748443506,2.2861739400422407,2.321928094887362,2.3024136906294492,2.3208580447518905
0.8999999999999999,0,500,52.15,52,2.4121403467940206,47,57,49.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.7200585336092118,0.7213706181695622,0.012409637175624167,0.693713841725501,0.7432295446661372,0.7022002529426628,0.7312909482088468,0.5489683140501145,0.5461182216233671,0.01844749216363025,0.5143992350324642,0.5908964836851562,0.5284546252359269,0.5694233478201585,0.00079743211454485,0.0007949426755164367,0.00002829631705930379,0.0007601296658253664,0.0008727799228340837,0.0007705032369166051,0.0008198555780946096,48.40449999999999,48.995000000000005,2.3999286721856845,41.526,50.782,45.9092,50.3824,7.055565432592776,7.113833666093374,0.5374417240398202,5.4873396104123,7.778784223771729,6.595323571743717,7.628214074256385,88.3,89.5,7.094104297899326,67,98,82.7,96.1,56.15,57.5,6.674972895667423,38,66,49,64.1,2.3134428957407756,2.3156099133414747,0.009681898622818487,2.2790537934767854,2.3210238286880513,2.304295344527525,2.3204232247175733
