parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
30,0,500,29.15,29,0.9880869341680844,27,31,28,30,0,0,0,0,0,0,0,500,500,0,500,500,500,500,29.7814,29.769,0.22434287667717348,29.372,30.254,29.5332,30.0552,20,20,0,20,20,20,20,2.0378023839115023,2.0292522821719334,0.1103212730575291,1.8815514874698385,2.3567189055973476,1.921926958804972,2.1611292721329884,0.5828580879984495,0.5817040899322556,0.02350394034432895,0.5283006719286101,0.6172531467426993,0.5580341948806875,0.6127603454031271,0.6729867785089014,0.6664874188756984,0.025106288551568275,0.640329865894489,0.715537572294041,0.6457911325183846,0.7073469055985684,42.4,42.5,4.615762467663901,36,51,36.9,50,33.25,33,4.755882783735484,26,42,27.8,40.1,0.8232564657564657,0.8257575757575758,0.15380110124586652,0.5555555555555556,1.1666666666666667,0.6666666666666666,1,0.34871536056740043,0.31646562547191653,0.05447140972277502,0.29860255575056477,0.4304806252709558,0.30158078075264916,0.42343686259803565,268.65063470212266,235.4178195700433,59.46990975639471,217.8876028765576,378.20554593231833,218.9693432062356,356.42525443230494,671.743337184917,670.9900587492612,25.881876698131702,615.2379797381345,720.9451655946574,641.5020226261955,702.8387629708877,10,10,0,10,10,10,10,2.264061261969659,2.2742896164369135,0.033667257043527375,2.1852659125503666,2.3058231002082845,2.214439761122453,2.295122107830605
60,0,500,45.4,45,1.8180382718454353,43,50,43.900000000000006,47.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.1854,44.064,1.286781067543921,41.672,46.09,42.596,45.86,20,20,0,20,20,20,20,6.304879240903072,6.384232611161735,0.4846152653389073,5.501490707072039,7.556224189368662,5.577707241703714,6.793843373679026,0.578660946234881,0.5790380851485981,0.018399323338175774,0.5493269476782988,0.6064923200129657,0.5548035643449702,0.6004348107134027,0.7308327730830909,0.7410321071746317,0.05548674402046272,0.5745184437767008,0.7993351165154896,0.6510404556665615,0.7789335244817451,104.7,106,8.176345857346506,83,116,95.5,114.1,79.3,80.5,8.105228981472719,58,92,69.8,89,0.9195242643274879,0.8798076923076923,0.13938927084256852,0.7407407407407407,1.3333333333333333,0.7793478260869566,1.0545238095238096,0.3487830671857076,0.34648213228104946,0.010791808493838793,0.33377633383671595,0.3811096383320078,0.3387346182393911,0.3629595061755816,206.93471256110897,206.04669949975613,2.518727700841441,205.36060040065627,214.96107408005835,205.45274066547094,209.34080769916616,772.0976598007426,781.9228302052468,37.7457666431982,699.0863996714419,836.8229261528447,721.2445059905291,806.4066660192858,11.2,11.5,0.8944271909999157,10,12,10,12,2.293278380917157,2.2972252490691494,0.017203286932771816,2.2595055293759634,2.3207006847585694,2.2711815722577406,2.3134893031702863
90,0,500,47.3,47,1.0310954828418375,46,49,46,49,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.03399999999999,44.3,1.7783151103162074,38.404,46.916,42.8876,45.785000000000004,20,20,0,20,20,20,20,6.563156477035652,6.503269724747529,0.639520097988757,5.515860404324978,7.950016603756241,5.943552681300473,7.467681544314915,0.5758898955359762,0.5726338081593246,0.020851447741939737,0.5210812065182117,0.6134049098783266,0.5593043881505467,0.6004909887323426,0.7339900501963433,0.7236205069869319,0.04112403516257698,0.6282009013387287,0.7941826730469017,0.6822835860841019,0.780591668062612,104.85,103.5,8.099870044441584,89,119,94,115.3,77.55,76.5,8.23647216253479,62,93,67.7,86.5,0.961968977741881,0.9479578392621871,0.0894339940153623,0.7692307692307693,1.105263157894737,0.8841538461538461,1.1005263157894738,0.3554416579227747,0.3521896300669328,0.015080358543435864,0.33825351423175226,0.41332008221315103,0.34657234900023143,0.3628181280210857,205.56342339393632,205.47150895441752,0.3561173630992484,205.2842740283173,206.73154033316777,205.2842740283173,205.9677984484257,748.970019152812,755.5955638194716,36.59797679372497,666.6185797081347,804.1250436910783,699.8003715003078,785.2417622050921,10.95,11,0.7591546545162482,10,12,10,12,2.298515143767857,2.3053902702674662,0.015613005539839433,2.258821401606461,2.3136088506956893,2.280621643619131,2.313489303170286
120,0,500,47.55,47,1.3168942730211068,46,51,46,49,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.2632,44.459999999999994,1.952149088353114,40.13,47.222,41.3874,46.6666,20,20,0,20,20,20,20,6.624045200154905,6.724716439751683,0.4903373557318301,5.449275548180681,7.6362933416677965,6.024966556127238,6.994524537327043,0.5756248257923728,0.5708303675271719,0.02378274113284957,0.5395962815646775,0.6257131810347727,0.5502348398538166,0.605282303725207,0.7473120796304559,0.7541880366394815,0.02582327240601726,0.6842867124706025,0.7790435456659045,0.7173846511271926,0.7679480436832367,102.8,101.5,8.859131476974241,87,117,91.7,114,75.25,73.5,8.447204458156245,60,90,65.6,84.2,0.9244401960268434,0.9065217391304348,0.07108984816349274,0.8064516129032258,1.105263157894737,0.8612727272727273,1,0.3613971021516057,0.35236306246729016,0.019863590110607385,0.34115891843934404,0.41165573751495144,0.3488867351975842,0.38742650055588906,208.35699482288095,205.48709304098065,9.94710759026615,205.2842740283173,249.6661490949761,205.2927355755712,209.22050879625723,758.55100188992,759.6336349804592,35.03625477446734,704.3702771839977,820.110340042622,718.2603454521861,797.5959589428807,10.8,11,0.8944271909999157,10,13,10,12,2.2970276953138393,2.3012183637763677,0.014714763351659013,2.261996198187295,2.314802279850658,2.2781684673663243,2.3137579297493835
150,0,500,47.15,47,1.0399898784932577,46,50,46,48.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.331,45.195,2.7880517627151313,36.888,47.084,41.268,46.7996,20,20,0,20,20,20,20,6.529491630567447,6.60742798339793,0.4834166192183405,5.118345045031643,7.16343381347241,6.007809478299634,6.997709061720202,0.5767263899350625,0.5814395272690568,0.019690946687580382,0.529346533021722,0.599797391515278,0.5416489710876334,0.5988566338416589,0.7364556852664379,0.7523475277709797,0.05589688878189053,0.5511970169998394,0.8025588116834848,0.6740770827851299,0.7770116567652002,104.7,106,9.542701813152124,84,118,93.1,116.2,77.55,78,9.616187011054794,57,92,65.2,89.30000000000001,0.9595784846132883,0.9424342105263157,0.14312948573729775,0.7727272727272727,1.4166666666666667,0.8483333333333334,1.0235294117647062,0.3690611585539222,0.3583398998699862,0.03208507312925657,0.3412315375389593,0.46986147768025716,0.3431277460665469,0.40555268502701514,208.5479452910128,206.2686193098093,4.682746554520232,205.2861796970489,220.7657767856636,205.34602689004387,215.3164151701666,745.3604608153112,753.6367999856986,41.22346164180436,646.2491137318659,812.9275232688436,705.249151615616,789.6928850285182,11.15,11,0.8750939799154207,10,12,10,12,2.2971984998767905,2.3019673944031087,0.013057591259750397,2.2761832435613356,2.316564003601006,2.2814222087969926,2.3135082172675845
180,0,500,47.75,47,1.7434086394791457,46,52,46,51,0,0,0,0,0,0,0,500,500,0,500,500,500,500,44.44500000000001,44.795,1.729440615374018,40.948,47.842,42.467,46.291799999999995,20,20,0,20,20,20,20,6.731842651511211,6.7784500811750465,0.5751456706046667,5.24834869268419,8.00539817872915,6.088235598423237,7.323951928744761,0.5742529051523606,0.574263061927643,0.01713834800454815,0.5433328812211141,0.6010103703089379,0.5503927111772305,0.597145658687664,0.7345374461285148,0.745842640209746,0.04523785642802921,0.6107816723558285,0.8060571910439571,0.6995246302903407,0.7682113362127927,105.2,105.5,8.971299266344635,90,124,92.9,114.2,77.45,75.5,9.605234318630101,62,98,64,87.1,0.9869791242531518,1,0.11114592735911938,0.7407407407407407,1.2,0.8591666666666666,1.1058479532163743,0.3670970022900519,0.35518747141719254,0.0319005735119488,0.33504111717461366,0.4666212240828993,0.3466498348200073,0.4084389488984275,207.03890814538968,205.4875047916425,3.340675891726227,205.2842740283173,216.88982740730276,205.30616594035078,209.69125612003472,756.826232411865,761.7705207896856,39.04820924756387,684.6797350296534,843.0674612174914,710.7739853550472,794.8932391186892,10.8,11,0.8335087534664907,10,12,10,12,2.294871487719587,2.300586924961202,0.019280880412533695,2.252736205420588,2.3199816828118998,2.267775391391505,2.3140012979670646
