parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,min_population_mean,min_population_median,min_population_stddev,min_population_min,min_population_max,min_population_p10,min_population_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,max_treasury_reserve_mean,max_treasury_reserve_median,max_treasury_reserve_stddev,max_treasury_reserve_min,max_treasury_reserve_max,max_treasury_reserve_p10,max_treasury_reserve_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,atp_variance_mean,atp_variance_median,atp_variance_stddev,atp_variance_min,atp_variance_max,atp_variance_p10,atp_variance_p90,wealth_concentration_index_mean,wealth_concentration_index_median,wealth_concentration_index_stddev,wealth_concentration_index_min,wealth_concentration_index_max,wealth_concentration_index_p10,wealth_concentration_index_p90,median_mean_atp_divergence_mean,median_mean_atp_divergence_median,median_mean_atp_divergence_stddev,median_mean_atp_divergence_min,median_mean_atp_divergence_max,median_mean_atp_divergence_p10,median_mean_atp_divergence_p90,mean_gini_coefficient_mean,mean_gini_coefficient_median,mean_gini_coefficient_stddev,mean_gini_coefficient_min,mean_gini_coefficient_max,mean_gini_coefficient_p10,mean_gini_coefficient_p90,max_gini_coefficient_mean,max_gini_coefficient_median,max_gini_coefficient_stddev,max_gini_coefficient_min,max_gini_coefficient_max,max_gini_coefficient_p10,max_gini_coefficient_p90,reproductive_inequality_index_mean,reproductive_inequality_index_median,reproductive_inequality_index_stddev,reproductive_inequality_index_min,reproductive_inequality_index_max,reproductive_inequality_index_p10,reproductive_inequality_index_p90,survival_inequality_index_mean,survival_inequality_index_median,survival_inequality_index_stddev,survival_inequality_index_min,survival_inequality_index_max,survival_inequality_index_p10,survival_inequality_index_p90,top_decile_persistence_mean,top_decile_persistence_median,top_decile_persistence_stddev,top_decile_persistence_min,top_decile_persistence_max,top_decile_persistence_p10,top_decile_persistence_p90
30,0,500,8.4,9,1.6351404253232553,5,10,5.8999999999999995,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.988299999999999,13.081,0.775130623966391,11.43,14.364,11.696,13.796199999999999,5.6,6,1.3138933706635725,3,8,4,7,0.5250625011967666,0.5205773373703055,0.03977191429452862,0.45352728657102814,0.6156013744787755,0.48121209167246093,0.5777997621095311,0.5877065174817904,0.5943475238853733,0.10593226518796534,0.26150891936619297,0.7302091173802377,0.47806015796323753,0.7152741611748743,12.8,13,1.6091841672756186,9,16,10.9,14.100000000000001,24.4,24,2.5422741580594415,19,31,22,27.1,0.5578734605067215,0.5255376560021026,0.08057562140875842,0.4498640778667296,0.7024921711620571,0.47241206201004043,0.6571131667075152,753.3798072613578,721.213009352583,128.99745605136755,600.3104690073227,1065.1543676931371,647.5256615895345,948.4336662260799,1.6458333333333328,1.5,0.6510646925752684,1,4,1,2,6877.087161645884,6340.835928726107,2697.126923092789,1768.4691567597486,11647.805121475008,3767.2889327558573,10458.09075266689,0.3881826830996886,0.3683098623059421,0.09673128133323379,0.2730607630262805,0.5774062041812323,0.2887334860055042,0.5246300558258639,0.4875223148890317,0.38944937066776925,0.40418546665426547,-0.16817994746686815,1,-0.09663702990080832,1,0.48579924926774803,0.5100258716950148,0.0517127978096545,0.3443145559732783,0.5464144511403188,0.43896798938766657,0.5240274969702923,0.7746592411221802,0.7704802806927441,0.02901859126680026,0.7279257283045537,0.836083273141334,0.7429137541718204,0.807476733087167,0.9599565018315017,1,0.06261652907188311,0.8125,1,0.8547619047619047,1,0.8714524497098498,0.875,0.024478588168782026,0.782608695652174,0.9032258064516129,0.8614832535885169,0.8892857142857142,0.1618,0.126,0.11838367597283886,0.046,0.488,0.0688,0.2854000000000002
60,0,500,8.1,8,1.7441631985447619,5,11,5,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.983799999999997,12.989,0.7292210407796732,11.344,14.178,12.169599999999999,13.8734,5.45,5,1.234376040972246,3,8,4,7,0.5233198290771077,0.5250906808841144,0.03751750500610331,0.4598579956491914,0.5879151780866292,0.47921810777856155,0.5667852533731464,0.6050396832730516,0.6030164598514647,0.13014811625113384,0.37232551522309,0.8408293565592998,0.43847124155537204,0.7394426962795525,13.25,13,1.943274501832843,9,18,11,15,25.15,25,3.133435981894569,21,33,21,28.200000000000003,0.5647003022315871,0.5724191456592971,0.07546058037428488,0.4652677308375546,0.6856626668621387,0.4741898226656744,0.6716304278452006,725.2351488564664,728.4286754526156,129.39900583516675,532.2986816867634,1057.455359601857,586.2768740959513,857.5221689414634,2.0358333333333336,2,0.8695343077076958,0.8,4,1,3,7179.931859899023,6219.670108395153,2722.338611321286,2641.0023988646053,12508.008658834759,4545.390832127883,10871.75192146985,0.4322449575032838,0.3617489652828818,0.1702879721265483,0.2717925509864834,0.8365112063903474,0.2804200138787879,0.6951321847949041,0.5942431733875705,0.5913253883224365,0.3724560368784305,-0.13425578024523968,1,0.08536316645212653,1,0.4864267471124489,0.49343297987635487,0.05151296798477213,0.38559642145948003,0.5824669147747726,0.42283695168574287,0.5328197356801403,0.7748208251880924,0.7650749116809399,0.039888558932224774,0.7199282976376682,0.8663270261630862,0.7377910936077109,0.8487586841073438,0.9812820512820514,1,0.05458398164558486,0.7692307692307693,1,0.9323076923076924,1,0.8790192754105799,0.88,0.01449404718930739,0.8571428571428571,0.9090909090909091,0.8571428571428571,0.8935714285714287,0.16390000000000002,0.14400000000000002,0.08887714761636453,0.06,0.35,0.07579999999999999,0.28480000000000005
90,0,500,8.65,9,1.348488432516786,7,11,7,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,13.1962,12.995,0.8248196995962847,11.972,14.78,12.367,14.448,6.2,6,1.399247918291146,4,9,4.9,8.100000000000001,0.5211080127997848,0.5225878465269354,0.03577923447832816,0.4603956057743644,0.5830446973780088,0.47836296777312404,0.5661469969018833,0.5778850279177059,0.5968218059900529,0.08618584964582326,0.4280376555313183,0.7550504538029055,0.465349550335032,0.6987609673114541,12.6,13,2.1618705350983247,8,16,9,15,23.95,24,2.8186409565791215,19,28,20.8,27.1,0.5414930782206598,0.521976620833864,0.06419437982846249,0.4579758346048056,0.6606323421671431,0.47238956854478037,0.6401598760164083,752.0903569687301,670.2398008767398,146.37592617695697,576.6009254348542,1126.9331041932544,621.5657233416605,925.8057792351527,1.618333333333333,1.4166666666666665,0.5956199777498543,1,3,1,2.5,6949.360397655898,7438.499157510272,2720.8419711661986,2327.6760306447754,11678.366892520033,3111.305010009978,9729.691448711139,0.3539530422930177,0.3117036784474042,0.10727082588698152,0.24082327746006435,0.620162068170633,0.2753699242334255,0.5573814601555505,0.4617888126577886,0.44464722316094624,0.39261638670581006,-0.33485091621681884,1,-0.011125544723811977,1,0.4888663494131592,0.48401495649138093,0.05444909436362884,0.37881522935686734,0.5851793918801844,0.4343065710156219,0.564389669776169,0.776196440460718,0.775442543171371,0.03497209167843254,0.7207845979295648,0.8490715221902326,0.7334826635107611,0.8163320737204127,0.9790476190476192,1,0.04021068752627194,0.8571428571428571,1,0.9285714285714286,1,0.8615261020444087,0.875,0.037158258465491846,0.7619047619047619,0.8928571428571429,0.8207509881422925,0.8892857142857142,0.1279,0.11499999999999999,0.07787838021725386,0.032,0.314,0.0478,0.23879999999999998
120,0,500,8.05,8,1.6375527311718607,5,11,5.8999999999999995,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.872,12.82,0.7831614742419611,11.426,14.816,12.0446,13.6744,5.7,6,1.260743306232687,3,8,4,7,0.5291445285388796,0.5257417307350813,0.04490678722442027,0.43428548280079965,0.6144928223344944,0.48206007616595614,0.5916020382656115,0.5677866605344117,0.5623673514082821,0.1116451734151135,0.27171918140993645,0.7430024761903461,0.47431673811958297,0.7142246384119789,12.9,13,2.337339918526366,9,17,10,16.1,24.85,25,2.9607075967890193,20,31,21,29.1,0.5587358577864812,0.5497812138051097,0.06063194322136466,0.44472254959324137,0.6738649733962354,0.5006543661842686,0.6444956493261231,767.4772102690814,768.8600991254214,114.57566460900115,558.381084366846,1071.7223989215515,629.3708284521956,866.9504951054724,1.6208333333333331,1.5,0.5820631534635079,1,3,1,2.1000000000000014,7457.594031568316,7022.022394625004,3637.192015082105,2623.817183492246,16046.284561984974,3766.175736463011,11677.394486308483,0.39492010316302084,0.3743726640676241,0.09951666988693682,0.2548927703906313,0.5837713618521,0.2917329404818546,0.5274370265934781,0.4359356587962366,0.4528306049350327,0.36769590367004,-0.09449980915518537,1,-0.048474805310701995,1,0.4683665194403259,0.46805528234685556,0.05300628359145501,0.37732089612897485,0.5681998593894676,0.3880901505207227,0.5246391772387974,0.7801760434052467,0.7713440626243129,0.027265414293021387,0.7464984159257552,0.848913976592231,0.7514863511750622,0.8165242891359868,0.9469934110007641,1,0.08088848741673375,0.6666666666666666,1,0.8823529411764706,1,0.8752902418308425,0.88,0.020522837707093962,0.8095238095238095,0.9032258064516129,0.8564285714285713,0.896896551724138,0.12270000000000003,0.102,0.06334957317182675,0.042,0.26,0.0596,0.21600000000000003
150,0,500,7.75,8,1.7434086394791457,3,10,6,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.650199999999998,12.617,0.7669957524070954,11.146,13.95,11.750399999999999,13.6966,5.2,5,1.3218806379747876,3,7,3.9000000000000004,7,0.5289141878504846,0.5220340868392146,0.04053858938968707,0.4640923805532425,0.6308184252167072,0.4928909248209476,0.587965712918303,0.5850295406975408,0.5873460188094943,0.12522043235949262,0.3327470338454046,0.8252691312180033,0.4038284497044462,0.7321377034804526,12.95,13,1.932410548076104,9,16,11,16,25.2,25,1.9358120830939742,23,29,23,28,0.5739987620477952,0.5509268214312544,0.07878539122333247,0.43363545616944044,0.7174078828374219,0.4912271905603595,0.6819211854314366,769.4310700970088,704.8942840220653,213.776791552592,598.6783921863728,1579.660606395929,624.6694977642773,951.4603473045623,1.6833333333333336,1.5833333333333335,0.6917432847016475,1,4,1,2.0500000000000007,8073.750091797777,6606.012671091712,6653.043542492438,1766.312538309897,33811.252973068804,3334.431813654072,10731.00246945944,0.4137589963422562,0.3960297970136103,0.1392050341532543,0.23415521753384033,0.7446132442631586,0.29075896751675717,0.604584282268162,0.46172243971233284,0.4010872387402118,0.37463214409703804,-0.30483689523832475,1,0.07223649104651038,1,0.4711130011035663,0.46196324076982803,0.05165227445809548,0.3794146514164738,0.5652914448703406,0.4163101860852348,0.5408690648360408,0.7827341766164527,0.7737894677782798,0.03960223738870292,0.7256211871986182,0.8565812482591612,0.7366424700113454,0.8368922436637568,0.9441865079365078,1,0.12698047359249526,0.4444444444444444,1,0.8571428571428571,1,0.8761978415554129,0.88,0.01651789378156637,0.8260869565217391,0.896551724137931,0.8672240802675586,0.8928571428571429,0.1885,0.14700000000000002,0.15212304576437977,0.056,0.73,0.0714,0.2968
180,0,500,8.05,8,1.6693837501494846,5,10,6,10,0,0,0,0,0,0,0,500,500,0,500,500,500,500,12.9165,12.937000000000001,0.8600112300368371,11.554,14.378,11.891599999999999,13.872600000000002,5.5,5.5,1.3178930553209385,3,8,4,7,0.5388253122802892,0.5320804179407193,0.05047387253314117,0.449602888591423,0.6319970939327787,0.4712295559598438,0.605590521060658,0.5675295418486748,0.5660056907390884,0.10796535831723297,0.2626744800367251,0.7471124148973477,0.49697887688331754,0.6715705286339102,12.55,12.5,2.0124611797498106,8,18,10.8,14,24.5,24,2.781517949836592,20,33,22,27.1,0.5569918977119482,0.574033268607508,0.07432161049875982,0.4342589163436339,0.6681855748782878,0.45476206228305666,0.6389091051761213,755.2459960260186,714.6073326508258,143.2470496819767,520.1531017038341,1104.6727642128728,625.501635541435,912.8091394448052,1.4791666666666665,1.3333333333333333,0.5086064839889043,1,3,1,2,7196.277940783804,6480.5681307677705,3706.0532007612246,1865.9116797481045,18157.14762047982,2662.815866728084,11467.672090298514,0.3874757564820082,0.3701437016560394,0.0950447490662352,0.27616380524089185,0.5639321726522235,0.29069453790513894,0.5089051981243449,0.32845920817506336,0.2522366412533104,0.32307541111682964,-0.22545888830814168,1,-0.008367536969906986,0.7066776795376011,0.47660342104524195,0.4830442003998574,0.04597850372828106,0.3534971761276772,0.565162416367657,0.42710206442391485,0.5248048489844336,0.7705629490063249,0.7590646550430276,0.031095638937742087,0.7218460107227035,0.8186862295804114,0.7310045921097902,0.811085901152738,0.9925824175824175,1,0.02284822923140708,0.9230769230769231,1,0.9928571428571429,1,0.8717506575550052,0.875,0.020977796522505737,0.8181818181818182,0.9090909090909091,0.8476086956521739,0.8892857142857142,0.14360000000000003,0.14300000000000002,0.0722527726657928,0.042,0.292,0.059,0.2192000000000001
